"","method","k_num","ptime","k_orig","e","n","sample","sepVal","run","sampling_iteration","simulation_iteration"
"1","BIC_kluster_mean",4,0.781650000002701,15,-11,2250000,100,0.1,"Nxcpmpm",100,1
"2","cal_kluster_mean",15,1.36207999999635,15,0,2250000,100,0.1,"Nxcpmpm",100,1
"3","pam_kluster_mean",2,0.0392699999944307,15,-13,2250000,100,0.1,"Nxcpmpm",100,1
"4","ap_kluster_mean",7,0.0261600000050385,15,-8,2250000,100,0.1,"Nxcpmpm",100,1
"5","BIC_kluster_frq",4,0.781650000002701,15,-11,2250000,100,0.1,"Nxcpmpm",100,1
"6","cal_kluster_frq",15,1.36207999999635,15,0,2250000,100,0.1,"Nxcpmpm",100,1
"7","pam_kluster_frq",2,0.0392699999944307,15,-13,2250000,100,0.1,"Nxcpmpm",100,1
"8","ap_kluster_frq",7,0.0261600000050385,15,-8,2250000,100,0.1,"Nxcpmpm",100,1
"9","BIC_kluster_mean",15,4.03138999999617,15,0,2250000,500,0.1,"Nxcpmpm",100,1
"10","cal_kluster_mean",15,5.13824000000022,15,0,2250000,500,0.1,"Nxcpmpm",100,1
"11","pam_kluster_mean",2,1.2087200000009,15,-13,2250000,500,0.1,"Nxcpmpm",100,1
"12","ap_kluster_mean",15,0.578510000008391,15,0,2250000,500,0.1,"Nxcpmpm",100,1
"13","BIC_kluster_frq",15,4.03138999999617,15,0,2250000,500,0.1,"Nxcpmpm",100,1
"14","cal_kluster_frq",15,5.13824000000022,15,0,2250000,500,0.1,"Nxcpmpm",100,1
"15","pam_kluster_frq",2,1.2087200000009,15,-13,2250000,500,0.1,"Nxcpmpm",100,1
"16","ap_kluster_frq",15,0.578510000008391,15,0,2250000,500,0.1,"Nxcpmpm",100,1
"17","BIC_kluster_mean",15,9.11640999999829,15,0,2250000,1000,0.1,"Nxcpmpm",100,1
"18","cal_kluster_mean",15,10.8482100000035,15,0,2250000,1000,0.1,"Nxcpmpm",100,1
"19","pam_kluster_mean",2,5.56063000000664,15,-13,2250000,1000,0.1,"Nxcpmpm",100,1
"20","ap_kluster_mean",15,2.88403000000049,15,0,2250000,1000,0.1,"Nxcpmpm",100,1
"21","BIC_kluster_frq",15,9.11640999999829,15,0,2250000,1000,0.1,"Nxcpmpm",100,1
"22","cal_kluster_frq",15,10.8482100000035,15,0,2250000,1000,0.1,"Nxcpmpm",100,1
"23","pam_kluster_frq",2,5.56063000000664,15,-13,2250000,1000,0.1,"Nxcpmpm",100,1
"24","ap_kluster_frq",15,2.88403000000049,15,0,2250000,1000,0.1,"Nxcpmpm",100,1
"25","BIC_kluster_mean",7,0.622429999999004,15,-8,2250000,100,0.2,"zBtAk7f",100,1
"26","cal_kluster_mean",15,1.31860000000102,15,0,2250000,100,0.2,"zBtAk7f",100,1
"27","pam_kluster_mean",2,0.0392600000044331,15,-13,2250000,100,0.2,"zBtAk7f",100,1
"28","ap_kluster_mean",7,0.0268700000061654,15,-8,2250000,100,0.2,"zBtAk7f",100,1
"29","BIC_kluster_frq",3,0.622429999999004,15,-12,2250000,100,0.2,"zBtAk7f",100,1
"30","cal_kluster_frq",15,1.31860000000102,15,0,2250000,100,0.2,"zBtAk7f",100,1
"31","pam_kluster_frq",2,0.0392600000044331,15,-13,2250000,100,0.2,"zBtAk7f",100,1
"32","ap_kluster_frq",7,0.0268700000061654,15,-8,2250000,100,0.2,"zBtAk7f",100,1
"33","BIC_kluster_mean",15,3.30729999999981,15,0,2250000,500,0.2,"zBtAk7f",100,1
"34","cal_kluster_mean",15,4.2991800000018,15,0,2250000,500,0.2,"zBtAk7f",100,1
"35","pam_kluster_mean",2,1.16947999999858,15,-13,2250000,500,0.2,"zBtAk7f",100,1
"36","ap_kluster_mean",15,0.580619999996852,15,0,2250000,500,0.2,"zBtAk7f",100,1
"37","BIC_kluster_frq",15,3.30729999999981,15,0,2250000,500,0.2,"zBtAk7f",100,1
"38","cal_kluster_frq",15,4.2991800000018,15,0,2250000,500,0.2,"zBtAk7f",100,1
"39","pam_kluster_frq",2,1.16947999999858,15,-13,2250000,500,0.2,"zBtAk7f",100,1
"40","ap_kluster_frq",15,0.580619999996852,15,0,2250000,500,0.2,"zBtAk7f",100,1
"41","BIC_kluster_mean",15,8.94579999999842,15,0,2250000,1000,0.2,"zBtAk7f",100,1
"42","cal_kluster_mean",15,8.67529999999795,15,0,2250000,1000,0.2,"zBtAk7f",100,1
"43","pam_kluster_mean",2,5.55435999999987,15,-13,2250000,1000,0.2,"zBtAk7f",100,1
"44","ap_kluster_mean",15,2.78154000000213,15,0,2250000,1000,0.2,"zBtAk7f",100,1
"45","BIC_kluster_frq",15,8.94579999999842,15,0,2250000,1000,0.2,"zBtAk7f",100,1
"46","cal_kluster_frq",15,8.67529999999795,15,0,2250000,1000,0.2,"zBtAk7f",100,1
"47","pam_kluster_frq",2,5.55435999999987,15,-13,2250000,1000,0.2,"zBtAk7f",100,1
"48","ap_kluster_frq",15,2.78154000000213,15,0,2250000,1000,0.2,"zBtAk7f",100,1
"49","BIC_kluster_mean",13,0.540749999994878,15,-2,2250000,100,0.3,"hDy76h0",100,1
"50","cal_kluster_mean",15,1.14680000000168,15,0,2250000,100,0.3,"hDy76h0",100,1
"51","pam_kluster_mean",3,0.0381299999984913,15,-12,2250000,100,0.3,"hDy76h0",100,1
"52","ap_kluster_mean",8,0.0259599999990314,15,-7,2250000,100,0.3,"hDy76h0",100,1
"53","BIC_kluster_frq",15,0.540749999994878,15,0,2250000,100,0.3,"hDy76h0",100,1
"54","cal_kluster_frq",15,1.14680000000168,15,0,2250000,100,0.3,"hDy76h0",100,1
"55","pam_kluster_frq",2,0.0381299999984913,15,-13,2250000,100,0.3,"hDy76h0",100,1
"56","ap_kluster_frq",8,0.0259599999990314,15,-7,2250000,100,0.3,"hDy76h0",100,1
"57","BIC_kluster_mean",15,3.03669999999925,15,0,2250000,500,0.3,"hDy76h0",100,1
"58","cal_kluster_mean",15,3.57524000000209,15,0,2250000,500,0.3,"hDy76h0",100,1
"59","pam_kluster_mean",2,1.14432999999612,15,-13,2250000,500,0.3,"hDy76h0",100,1
"60","ap_kluster_mean",15,0.564139999999898,15,0,2250000,500,0.3,"hDy76h0",100,1
"61","BIC_kluster_frq",15,3.03669999999925,15,0,2250000,500,0.3,"hDy76h0",100,1
"62","cal_kluster_frq",15,3.57524000000209,15,0,2250000,500,0.3,"hDy76h0",100,1
"63","pam_kluster_frq",2,1.14432999999612,15,-13,2250000,500,0.3,"hDy76h0",100,1
"64","ap_kluster_frq",15,0.564139999999898,15,0,2250000,500,0.3,"hDy76h0",100,1
"65","BIC_kluster_mean",15,8.37805000000168,15,0,2250000,1000,0.3,"hDy76h0",100,1
"66","cal_kluster_mean",15,6.96260000000009,15,0,2250000,1000,0.3,"hDy76h0",100,1
"67","pam_kluster_mean",2,5.03676000000094,15,-13,2250000,1000,0.3,"hDy76h0",100,1
"68","ap_kluster_mean",15,2.7589999999979,15,0,2250000,1000,0.3,"hDy76h0",100,1
"69","BIC_kluster_frq",15,8.37805000000168,15,0,2250000,1000,0.3,"hDy76h0",100,1
"70","cal_kluster_frq",15,6.96260000000009,15,0,2250000,1000,0.3,"hDy76h0",100,1
"71","pam_kluster_frq",2,5.03676000000094,15,-13,2250000,1000,0.3,"hDy76h0",100,1
"72","ap_kluster_frq",15,2.7589999999979,15,0,2250000,1000,0.3,"hDy76h0",100,1
"73","BIC_kluster_mean",15,0.428469999996014,15,0,2250000,100,0.4,"6JFFR6S",100,1
"74","cal_kluster_mean",15,1.21794000000111,15,0,2250000,100,0.4,"6JFFR6S",100,1
"75","pam_kluster_mean",6,0.0385599999967962,15,-9,2250000,100,0.4,"6JFFR6S",100,1
"76","ap_kluster_mean",8,0.026049999993993,15,-7,2250000,100,0.4,"6JFFR6S",100,1
"77","BIC_kluster_frq",15,0.428469999996014,15,0,2250000,100,0.4,"6JFFR6S",100,1
"78","cal_kluster_frq",15,1.21794000000111,15,0,2250000,100,0.4,"6JFFR6S",100,1
"79","pam_kluster_frq",2,0.0385599999967962,15,-13,2250000,100,0.4,"6JFFR6S",100,1
"80","ap_kluster_frq",6,0.026049999993993,15,-9,2250000,100,0.4,"6JFFR6S",100,1
"81","BIC_kluster_mean",15,2.00566999999923,15,0,2250000,500,0.4,"6JFFR6S",100,1
"82","cal_kluster_mean",15,3.80280999999261,15,0,2250000,500,0.4,"6JFFR6S",100,1
"83","pam_kluster_mean",2,1.11133000000147,15,-13,2250000,500,0.4,"6JFFR6S",100,1
"84","ap_kluster_mean",15,0.567830000011018,15,0,2250000,500,0.4,"6JFFR6S",100,1
"85","BIC_kluster_frq",15,2.00566999999923,15,0,2250000,500,0.4,"6JFFR6S",100,1
"86","cal_kluster_frq",15,3.80280999999261,15,0,2250000,500,0.4,"6JFFR6S",100,1
"87","pam_kluster_frq",2,1.11133000000147,15,-13,2250000,500,0.4,"6JFFR6S",100,1
"88","ap_kluster_frq",15,0.567830000011018,15,0,2250000,500,0.4,"6JFFR6S",100,1
"89","BIC_kluster_mean",15,6.01849999999977,15,0,2250000,1000,0.4,"6JFFR6S",100,1
"90","cal_kluster_mean",15,7.22800000000629,15,0,2250000,1000,0.4,"6JFFR6S",100,1
"91","pam_kluster_mean",2,4.75183999999892,15,-13,2250000,1000,0.4,"6JFFR6S",100,1
