"","method","k_num","ptime","k_orig","e","n","sample","sepVal","run","sampling_iteration","simulation_iteration"
"1","BIC_kluster_mean",7,0.61519000000204,9,-2,810000,100,0.1,"xTGzd0f",100,1
"2","cal_kluster_mean",12,1.26811000000336,9,3,810000,100,0.1,"xTGzd0f",100,1
"3","pam_kluster_mean",8,0.0394299999985378,9,-1,810000,100,0.1,"xTGzd0f",100,1
"4","ap_kluster_mean",9,0.0243000000005122,9,0,810000,100,0.1,"xTGzd0f",100,1
"5","BIC_kluster_frq",9,0.61519000000204,9,0,810000,100,0.1,"xTGzd0f",100,1
"6","cal_kluster_frq",15,1.26811000000336,9,6,810000,100,0.1,"xTGzd0f",100,1
"7","pam_kluster_frq",9,0.0394299999985378,9,0,810000,100,0.1,"xTGzd0f",100,1
"8","ap_kluster_frq",9,0.0243000000005122,9,0,810000,100,0.1,"xTGzd0f",100,1
"9","BIC_kluster_mean",9,5.20734000000288,9,0,810000,500,0.1,"xTGzd0f",100,1
"10","cal_kluster_mean",9,4.61678000000305,9,0,810000,500,0.1,"xTGzd0f",100,1
"11","pam_kluster_mean",9,1.18696999999229,9,0,810000,500,0.1,"xTGzd0f",100,1
"12","ap_kluster_mean",12,0.6924199999962,9,3,810000,500,0.1,"xTGzd0f",100,1
"13","BIC_kluster_frq",9,5.20734000000288,9,0,810000,500,0.1,"xTGzd0f",100,1
"14","cal_kluster_frq",9,4.61678000000305,9,0,810000,500,0.1,"xTGzd0f",100,1
"15","pam_kluster_frq",9,1.18696999999229,9,0,810000,500,0.1,"xTGzd0f",100,1
"16","ap_kluster_frq",12,0.6924199999962,9,3,810000,500,0.1,"xTGzd0f",100,1
"17","BIC_kluster_mean",9,11.1086300000001,9,0,810000,1000,0.1,"xTGzd0f",100,1
"18","cal_kluster_mean",9,9.62405999999493,9,0,810000,1000,0.1,"xTGzd0f",100,1
"19","pam_kluster_mean",9,5.50170000000158,9,0,810000,1000,0.1,"xTGzd0f",100,1
"20","ap_kluster_mean",18,3.64742000000319,9,9,810000,1000,0.1,"xTGzd0f",100,1
"21","BIC_kluster_frq",9,11.1086300000001,9,0,810000,1000,0.1,"xTGzd0f",100,1
"22","cal_kluster_frq",9,9.62405999999493,9,0,810000,1000,0.1,"xTGzd0f",100,1
"23","pam_kluster_frq",9,5.50170000000158,9,0,810000,1000,0.1,"xTGzd0f",100,1
"24","ap_kluster_frq",18,3.64742000000319,9,9,810000,1000,0.1,"xTGzd0f",100,1
"25","BIC_kluster_mean",10,0.466700000002747,9,1,810000,100,0.2,"ZJrWrie",100,1
"26","cal_kluster_mean",12,1.25265999999945,9,3,810000,100,0.2,"ZJrWrie",100,1
"27","pam_kluster_mean",9,0.0383699999994133,9,0,810000,100,0.2,"ZJrWrie",100,1
"28","ap_kluster_mean",9,0.0251899999997113,9,0,810000,100,0.2,"ZJrWrie",100,1
"29","BIC_kluster_frq",9,0.466700000002747,9,0,810000,100,0.2,"ZJrWrie",100,1
"30","cal_kluster_frq",15,1.25265999999945,9,6,810000,100,0.2,"ZJrWrie",100,1
"31","pam_kluster_frq",9,0.0383699999994133,9,0,810000,100,0.2,"ZJrWrie",100,1
"32","ap_kluster_frq",9,0.0251899999997113,9,0,810000,100,0.2,"ZJrWrie",100,1
"33","BIC_kluster_mean",9,4.13330999999773,9,0,810000,500,0.2,"ZJrWrie",100,1
"34","cal_kluster_mean",10,4.0197700000077,9,1,810000,500,0.2,"ZJrWrie",100,1
"35","pam_kluster_mean",9,1.00324999999953,9,0,810000,500,0.2,"ZJrWrie",100,1
"36","ap_kluster_mean",10,0.633010000002105,9,1,810000,500,0.2,"ZJrWrie",100,1
"37","BIC_kluster_frq",9,4.13330999999773,9,0,810000,500,0.2,"ZJrWrie",100,1
"38","cal_kluster_frq",9,4.0197700000077,9,0,810000,500,0.2,"ZJrWrie",100,1
"39","pam_kluster_frq",9,1.00324999999953,9,0,810000,500,0.2,"ZJrWrie",100,1
"40","ap_kluster_frq",11,0.633010000002105,9,2,810000,500,0.2,"ZJrWrie",100,1
"41","BIC_kluster_mean",9,9.17418999999412,9,0,810000,1000,0.2,"ZJrWrie",100,1
"42","cal_kluster_mean",9,7.96990000000689,9,0,810000,1000,0.2,"ZJrWrie",100,1
"43","pam_kluster_mean",9,4.5190399999998,9,0,810000,1000,0.2,"ZJrWrie",100,1
"44","ap_kluster_mean",14,3.67760999999242,9,5,810000,1000,0.2,"ZJrWrie",100,1
"45","BIC_kluster_frq",9,9.17418999999412,9,0,810000,1000,0.2,"ZJrWrie",100,1
"46","cal_kluster_frq",9,7.96990000000689,9,0,810000,1000,0.2,"ZJrWrie",100,1
"47","pam_kluster_frq",9,4.5190399999998,9,0,810000,1000,0.2,"ZJrWrie",100,1
"48","ap_kluster_frq",14,3.67760999999242,9,5,810000,1000,0.2,"ZJrWrie",100,1
"49","BIC_kluster_mean",9,0.356270000006771,9,0,810000,100,0.3,"NoFtBoo",100,1
"50","cal_kluster_mean",10,1.20042999999831,9,1,810000,100,0.3,"NoFtBoo",100,1
"51","pam_kluster_mean",9,0.0357999999972526,9,0,810000,100,0.3,"NoFtBoo",100,1
"52","ap_kluster_mean",9,0.0254599999974016,9,0,810000,100,0.3,"NoFtBoo",100,1
"53","BIC_kluster_frq",9,0.356270000006771,9,0,810000,100,0.3,"NoFtBoo",100,1
"54","cal_kluster_frq",9,1.20042999999831,9,0,810000,100,0.3,"NoFtBoo",100,1
"55","pam_kluster_frq",9,0.0357999999972526,9,0,810000,100,0.3,"NoFtBoo",100,1
"56","ap_kluster_frq",9,0.0254599999974016,9,0,810000,100,0.3,"NoFtBoo",100,1
"57","BIC_kluster_mean",9,3.64946999999811,9,0,810000,500,0.3,"NoFtBoo",100,1
"58","cal_kluster_mean",9,3.69900999999954,9,0,810000,500,0.3,"NoFtBoo",100,1
"59","pam_kluster_mean",9,0.965920000007609,9,0,810000,500,0.3,"NoFtBoo",100,1
"60","ap_kluster_mean",9,0.580010000001639,9,0,810000,500,0.3,"NoFtBoo",100,1
"61","BIC_kluster_frq",9,3.64946999999811,9,0,810000,500,0.3,"NoFtBoo",100,1
"62","cal_kluster_frq",9,3.69900999999954,9,0,810000,500,0.3,"NoFtBoo",100,1
"63","pam_kluster_frq",9,0.965920000007609,9,0,810000,500,0.3,"NoFtBoo",100,1
"64","ap_kluster_frq",9,0.580010000001639,9,0,810000,500,0.3,"NoFtBoo",100,1
"65","BIC_kluster_mean",9,7.51040999999852,9,0,810000,1000,0.3,"NoFtBoo",100,1
"66","cal_kluster_mean",9,7.15810000000405,9,0,810000,1000,0.3,"NoFtBoo",100,1
"67","pam_kluster_mean",9,4.16769999999786,9,0,810000,1000,0.3,"NoFtBoo",100,1
"68","ap_kluster_mean",10,3.19244999999297,9,1,810000,1000,0.3,"NoFtBoo",100,1
"69","BIC_kluster_frq",9,7.51040999999852,9,0,810000,1000,0.3,"NoFtBoo",100,1
"70","cal_kluster_frq",9,7.15810000000405,9,0,810000,1000,0.3,"NoFtBoo",100,1
"71","pam_kluster_frq",9,4.16769999999786,9,0,810000,1000,0.3,"NoFtBoo",100,1
"72","ap_kluster_frq",9,3.19244999999297,9,0,810000,1000,0.3,"NoFtBoo",100,1
"73","BIC_kluster_mean",9,0.274890000011073,9,0,810000,100,0.4,"9U9rt97",100,1
"74","cal_kluster_mean",11,1.23501000001212,9,2,810000,100,0.4,"9U9rt97",100,1
"75","pam_kluster_mean",9,0.0358299999975134,9,0,810000,100,0.4,"9U9rt97",100,1
"76","ap_kluster_mean",9,0.0264700000023004,9,0,810000,100,0.4,"9U9rt97",100,1
"77","BIC_kluster_frq",9,0.274890000011073,9,0,810000,100,0.4,"9U9rt97",100,1
"78","cal_kluster_frq",9,1.23501000001212,9,0,810000,100,0.4,"9U9rt97",100,1
"79","pam_kluster_frq",9,0.0358299999975134,9,0,810000,100,0.4,"9U9rt97",100,1
"80","ap_kluster_frq",9,0.0264700000023004,9,0,810000,100,0.4,"9U9rt97",100,1
"81","BIC_kluster_mean",9,2.80927999999141,9,0,810000,500,0.4,"9U9rt97",100,1
"82","cal_kluster_mean",9,3.63866000000387,9,0,810000,500,0.4,"9U9rt97",100,1
"83","pam_kluster_mean",9,0.899080000009853,9,0,810000,500,0.4,"9U9rt97",100,1
"84","ap_kluster_mean",9,0.592590000000782,9,0,810000,500,0.4,"9U9rt97",100,1
"85","BIC_kluster_frq",9,2.80927999999141,9,0,810000,500,0.4,"9U9rt97",100,1
"86","cal_kluster_frq",9,3.63866000000387,9,0,810000,500,0.4,"9U9rt97",100,1
"87","pam_kluster_frq",9,0.899080000009853,9,0,810000,500,0.4,"9U9rt97",100,1
"88","ap_kluster_frq",9,0.592590000000782,9,0,810000,500,0.4,"9U9rt97",100,1
"89","BIC_kluster_mean",9,6.28225999999209,9,0,810000,1000,0.4,"9U9rt97",100,1
"90","cal_kluster_mean",9,6.8442799999984,9,0,810000,1000,0.4,"9U9rt97",100,1
"91","pam_kluster_mean",9,3.91211000000127,9,0,810000,1000,0.4,"9U9rt97",100,1
"92","ap_kluster_mean",9,2.85313000000664,9,0,810000,1000,0.4,"9U9rt97",100,1
"93","BIC_kluster_frq",9,6.28225999999209,9,0,810000,1000,0.4,"9U9rt97",100,1
"94","cal_kluster_frq",9,6.8442799999984,9,0,810000,1000,0.4,"9U9rt97",100,1
"95","pam_kluster_frq",9,3.91211000000127,9,0,810000,1000,0.4,"9U9rt97",100,1
"96","ap_kluster_frq",9,2.85313000000664,9,0,810000,1000,0.4,"9U9rt97",100,1
"97","BIC_kluster_mean",9,0.245579999996116,9,0,810000,100,0.5,"yAr3EMp",100,1
"98","cal_kluster_mean",12,1.12735999999451,9,3,810000,100,0.5,"yAr3EMp",100,1
"99","pam_kluster_mean",9,0.0356400000059512,9,0,810000,100,0.5,"yAr3EMp",100,1
"100","ap_kluster_mean",9,0.0249799999955576,9,0,810000,100,0.5,"yAr3EMp",100,1
"101","BIC_kluster_frq",9,0.245579999996116,9,0,810000,100,0.5,"yAr3EMp",100,1
"102","cal_kluster_frq",15,1.12735999999451,9,6,810000,100,0.5,"yAr3EMp",100,1
"103","pam_kluster_frq",9,0.0356400000059512,9,0,810000,100,0.5,"yAr3EMp",100,1
"104","ap_kluster_frq",9,0.0249799999955576,9,0,810000,100,0.5,"yAr3EMp",100,1
"105","BIC_kluster_mean",9,2.00123999999487,9,0,810000,500,0.5,"yAr3EMp",100,1
"106","cal_kluster_mean",9,3.42648000000045,9,0,810000,500,0.5,"yAr3EMp",100,1
"107","pam_kluster_mean",9,0.878070000006119,9,0,810000,500,0.5,"yAr3EMp",100,1
"108","ap_kluster_mean",9,0.563819999999832,9,0,810000,500,0.5,"yAr3EMp",100,1
"109","BIC_kluster_frq",9,2.00123999999487,9,0,810000,500,0.5,"yAr3EMp",100,1
"110","cal_kluster_frq",9,3.42648000000045,9,0,810000,500,0.5,"yAr3EMp",100,1
"111","pam_kluster_frq",9,0.878070000006119,9,0,810000,500,0.5,"yAr3EMp",100,1
"112","ap_kluster_frq",9,0.563819999999832,9,0,810000,500,0.5,"yAr3EMp",100,1
"113","BIC_kluster_mean",9,6.49281000000308,9,0,810000,1000,0.5,"yAr3EMp",100,1
"114","cal_kluster_mean",9,6.55489000000642,9,0,810000,1000,0.5,"yAr3EMp",100,1
"115","pam_kluster_mean",9,3.77847999999067,9,0,810000,1000,0.5,"yAr3EMp",100,1
"116","ap_kluster_mean",9,2.84601000000141,9,0,810000,1000,0.5,"yAr3EMp",100,1
"117","BIC_kluster_frq",9,6.49281000000308,9,0,810000,1000,0.5,"yAr3EMp",100,1
"118","cal_kluster_frq",9,6.55489000000642,9,0,810000,1000,0.5,"yAr3EMp",100,1
"119","pam_kluster_frq",9,3.77847999999067,9,0,810000,1000,0.5,"yAr3EMp",100,1
"120","ap_kluster_frq",9,2.84601000000141,9,0,810000,1000,0.5,"yAr3EMp",100,1
"121","BIC_kluster_mean",9,0.222349999996368,9,0,810000,100,0.6,"R5HlbUe",100,1
"122","cal_kluster_mean",10,1.11655000001192,9,1,810000,100,0.6,"R5HlbUe",100,1
