"","method","k_num","ptime","k_orig","e","n","sample","sepVal","run","sampling_iteration","simulation_iteration"
"1","BIC_kluster_mean",4,0.800170000003418,4,0,160000,100,0.1,"bVz98BX",100,1
"2","cal_kluster_mean",4,1.3745299999998,4,0,160000,100,0.1,"bVz98BX",100,1
"3","pam_kluster_mean",4,0.0381499999947846,4,0,160000,100,0.1,"bVz98BX",100,1
"4","ap_kluster_mean",5,0.0306000000005588,4,1,160000,100,0.1,"bVz98BX",100,1
"5","BIC_kluster_frq",4,0.800170000003418,4,0,160000,100,0.1,"bVz98BX",100,1
"6","cal_kluster_frq",4,1.3745299999998,4,0,160000,100,0.1,"bVz98BX",100,1
"7","pam_kluster_frq",4,0.0381499999947846,4,0,160000,100,0.1,"bVz98BX",100,1
"8","ap_kluster_frq",5,0.0306000000005588,4,1,160000,100,0.1,"bVz98BX",100,1
"9","BIC_kluster_mean",4,7.84127000000328,4,0,160000,500,0.1,"bVz98BX",100,1
"10","cal_kluster_mean",4,5.58094999999856,4,0,160000,500,0.1,"bVz98BX",100,1
"11","pam_kluster_mean",4,1.29826999999932,4,0,160000,500,0.1,"bVz98BX",100,1
"12","ap_kluster_mean",14,0.721609999998473,4,10,160000,500,0.1,"bVz98BX",100,1
"13","BIC_kluster_frq",4,7.84127000000328,4,0,160000,500,0.1,"bVz98BX",100,1
"14","cal_kluster_frq",4,5.58094999999856,4,0,160000,500,0.1,"bVz98BX",100,1
"15","pam_kluster_frq",4,1.29826999999932,4,0,160000,500,0.1,"bVz98BX",100,1
"16","ap_kluster_frq",15,0.721609999998473,4,11,160000,500,0.1,"bVz98BX",100,1
"17","BIC_kluster_mean",4,13.7308200000064,4,0,160000,1000,0.1,"bVz98BX",100,1
"18","cal_kluster_mean",4,12.399569999997,4,0,160000,1000,0.1,"bVz98BX",100,1
"19","pam_kluster_mean",4,6.46980999999214,4,0,160000,1000,0.1,"bVz98BX",100,1
"20","ap_kluster_mean",21,3.50517000000691,4,17,160000,1000,0.1,"bVz98BX",100,1
"21","BIC_kluster_frq",4,13.7308200000064,4,0,160000,1000,0.1,"bVz98BX",100,1
"22","cal_kluster_frq",4,12.399569999997,4,0,160000,1000,0.1,"bVz98BX",100,1
"23","pam_kluster_frq",4,6.46980999999214,4,0,160000,1000,0.1,"bVz98BX",100,1
"24","ap_kluster_frq",20,3.50517000000691,4,16,160000,1000,0.1,"bVz98BX",100,1
"25","BIC_kluster_mean",4,0.65100000000326,4,0,160000,100,0.2,"lrlMM6n",100,1
"26","cal_kluster_mean",5,1.242429999999,4,1,160000,100,0.2,"lrlMM6n",100,1
"27","pam_kluster_mean",4,0.03745000000461,4,0,160000,100,0.2,"lrlMM6n",100,1
"28","ap_kluster_mean",5,0.0263699999975506,4,1,160000,100,0.2,"lrlMM6n",100,1
"29","BIC_kluster_frq",4,0.65100000000326,4,0,160000,100,0.2,"lrlMM6n",100,1
"30","cal_kluster_frq",4,1.242429999999,4,0,160000,100,0.2,"lrlMM6n",100,1
"31","pam_kluster_frq",4,0.03745000000461,4,0,160000,100,0.2,"lrlMM6n",100,1
"32","ap_kluster_frq",5,0.0263699999975506,4,1,160000,100,0.2,"lrlMM6n",100,1
"33","BIC_kluster_mean",4,7.12524999999674,4,0,160000,500,0.2,"lrlMM6n",100,1
"34","cal_kluster_mean",4,4.45074999999837,4,0,160000,500,0.2,"lrlMM6n",100,1
"35","pam_kluster_mean",4,1.25947000000277,4,0,160000,500,0.2,"lrlMM6n",100,1
"36","ap_kluster_mean",11,0.684679999997607,4,7,160000,500,0.2,"lrlMM6n",100,1
"37","BIC_kluster_frq",4,7.12524999999674,4,0,160000,500,0.2,"lrlMM6n",100,1
"38","cal_kluster_frq",4,4.45074999999837,4,0,160000,500,0.2,"lrlMM6n",100,1
"39","pam_kluster_frq",4,1.25947000000277,4,0,160000,500,0.2,"lrlMM6n",100,1
"40","ap_kluster_frq",12,0.684679999997607,4,8,160000,500,0.2,"lrlMM6n",100,1
"41","BIC_kluster_mean",4,13.2229200000002,4,0,160000,1000,0.2,"lrlMM6n",100,1
"42","cal_kluster_mean",4,9.30836999999941,4,0,160000,1000,0.2,"lrlMM6n",100,1
"43","pam_kluster_mean",4,6.25464999999269,4,0,160000,1000,0.2,"lrlMM6n",100,1
"44","ap_kluster_mean",18,3.74720000000787,4,14,160000,1000,0.2,"lrlMM6n",100,1
"45","BIC_kluster_frq",4,13.2229200000002,4,0,160000,1000,0.2,"lrlMM6n",100,1
"46","cal_kluster_frq",4,9.30836999999941,4,0,160000,1000,0.2,"lrlMM6n",100,1
"47","pam_kluster_frq",4,6.25464999999269,4,0,160000,1000,0.2,"lrlMM6n",100,1
"48","ap_kluster_frq",18,3.74720000000787,4,14,160000,1000,0.2,"lrlMM6n",100,1
"49","BIC_kluster_mean",4,0.491790000002366,4,0,160000,100,0.3,"b8AIl06",100,1
"50","cal_kluster_mean",9,1.21757000000915,4,5,160000,100,0.3,"b8AIl06",100,1
"51","pam_kluster_mean",4,0.0373499999952037,4,0,160000,100,0.3,"b8AIl06",100,1
"52","ap_kluster_mean",4,0.0244799999939278,4,0,160000,100,0.3,"b8AIl06",100,1
"53","BIC_kluster_frq",4,0.491790000002366,4,0,160000,100,0.3,"b8AIl06",100,1
"54","cal_kluster_frq",4,1.21757000000915,4,0,160000,100,0.3,"b8AIl06",100,1
"55","pam_kluster_frq",4,0.0373499999952037,4,0,160000,100,0.3,"b8AIl06",100,1
"56","ap_kluster_frq",4,0.0244799999939278,4,0,160000,100,0.3,"b8AIl06",100,1
"57","BIC_kluster_mean",4,6.42160000001546,4,0,160000,500,0.3,"b8AIl06",100,1
"58","cal_kluster_mean",4,4.15744000000297,4,0,160000,500,0.3,"b8AIl06",100,1
"59","pam_kluster_mean",4,1.16135999999475,4,0,160000,500,0.3,"b8AIl06",100,1
"60","ap_kluster_mean",9,0.641259999999311,4,5,160000,500,0.3,"b8AIl06",100,1
"61","BIC_kluster_frq",4,6.42160000001546,4,0,160000,500,0.3,"b8AIl06",100,1
"62","cal_kluster_frq",4,4.15744000000297,4,0,160000,500,0.3,"b8AIl06",100,1
"63","pam_kluster_frq",4,1.16135999999475,4,0,160000,500,0.3,"b8AIl06",100,1
"64","ap_kluster_frq",9,0.641259999999311,4,5,160000,500,0.3,"b8AIl06",100,1
"65","BIC_kluster_mean",4,12.4205300000077,4,0,160000,1000,0.3,"b8AIl06",100,1
"66","cal_kluster_mean",4,8.45929999998887,4,0,160000,1000,0.3,"b8AIl06",100,1
"67","pam_kluster_mean",4,5.3348899999971,4,0,160000,1000,0.3,"b8AIl06",100,1
"68","ap_kluster_mean",12,3.52842000000761,4,8,160000,1000,0.3,"b8AIl06",100,1
"69","BIC_kluster_frq",4,12.4205300000077,4,0,160000,1000,0.3,"b8AIl06",100,1
"70","cal_kluster_frq",4,8.45929999998887,4,0,160000,1000,0.3,"b8AIl06",100,1
"71","pam_kluster_frq",4,5.3348899999971,4,0,160000,1000,0.3,"b8AIl06",100,1
"72","ap_kluster_frq",12,3.52842000000761,4,8,160000,1000,0.3,"b8AIl06",100,1
"73","BIC_kluster_mean",4,0.54339999999851,4,0,160000,100,0.4,"MCm2oj3",100,1
"74","cal_kluster_mean",4,1.26091000000248,4,0,160000,100,0.4,"MCm2oj3",100,1
"75","pam_kluster_mean",4,0.0372499999997672,4,0,160000,100,0.4,"MCm2oj3",100,1
"76","ap_kluster_mean",4,0.024409999998752,4,0,160000,100,0.4,"MCm2oj3",100,1
"77","BIC_kluster_frq",4,0.54339999999851,4,0,160000,100,0.4,"MCm2oj3",100,1
"78","cal_kluster_frq",4,1.26091000000248,4,0,160000,100,0.4,"MCm2oj3",100,1
"79","pam_kluster_frq",4,0.0372499999997672,4,0,160000,100,0.4,"MCm2oj3",100,1
"80","ap_kluster_frq",4,0.024409999998752,4,0,160000,100,0.4,"MCm2oj3",100,1
"81","BIC_kluster_mean",4,6.65004999999888,4,0,160000,500,0.4,"MCm2oj3",100,1
"82","cal_kluster_mean",4,4.09681999999797,4,0,160000,500,0.4,"MCm2oj3",100,1
"83","pam_kluster_mean",4,1.29032000000239,4,0,160000,500,0.4,"MCm2oj3",100,1
"84","ap_kluster_mean",6,0.695499999994645,4,2,160000,500,0.4,"MCm2oj3",100,1
"85","BIC_kluster_frq",4,6.65004999999888,4,0,160000,500,0.4,"MCm2oj3",100,1
"86","cal_kluster_frq",4,4.09681999999797,4,0,160000,500,0.4,"MCm2oj3",100,1
"87","pam_kluster_frq",4,1.29032000000239,4,0,160000,500,0.4,"MCm2oj3",100,1
"88","ap_kluster_frq",6,0.695499999994645,4,2,160000,500,0.4,"MCm2oj3",100,1
"89","BIC_kluster_mean",4,11.6228200000001,4,0,160000,1000,0.4,"MCm2oj3",100,1
"90","cal_kluster_mean",4,8.38200000000186,4,0,160000,1000,0.4,"MCm2oj3",100,1
"91","pam_kluster_mean",4,6.7099499999953,4,0,160000,1000,0.4,"MCm2oj3",100,1
"92","ap_kluster_mean",11,3.67096000000602,4,7,160000,1000,0.4,"MCm2oj3",100,1
"93","BIC_kluster_frq",4,11.6228200000001,4,0,160000,1000,0.4,"MCm2oj3",100,1
"94","cal_kluster_frq",4,8.38200000000186,4,0,160000,1000,0.4,"MCm2oj3",100,1
"95","pam_kluster_frq",4,6.7099499999953,4,0,160000,1000,0.4,"MCm2oj3",100,1
"96","ap_kluster_frq",11,3.67096000000602,4,7,160000,1000,0.4,"MCm2oj3",100,1
"97","BIC_kluster_mean",4,0.447119999999413,4,0,160000,100,0.5,"21Vufkn",100,1
"98","cal_kluster_mean",4,1.16684000000241,4,0,160000,100,0.5,"21Vufkn",100,1
"99","pam_kluster_mean",4,0.0388899999961723,4,0,160000,100,0.5,"21Vufkn",100,1
"100","ap_kluster_mean",4,0.0233100000000559,4,0,160000,100,0.5,"21Vufkn",100,1
"101","BIC_kluster_frq",4,0.447119999999413,4,0,160000,100,0.5,"21Vufkn",100,1
"102","cal_kluster_frq",4,1.16684000000241,4,0,160000,100,0.5,"21Vufkn",100,1
"103","pam_kluster_frq",4,0.0388899999961723,4,0,160000,100,0.5,"21Vufkn",100,1
"104","ap_kluster_frq",4,0.0233100000000559,4,0,160000,100,0.5,"21Vufkn",100,1
"105","BIC_kluster_mean",4,6.41563999999431,4,0,160000,500,0.5,"21Vufkn",100,1
"106","cal_kluster_mean",4,3.93050000000163,4,0,160000,500,0.5,"21Vufkn",100,1
"107","pam_kluster_mean",4,1.36577000000281,4,0,160000,500,0.5,"21Vufkn",100,1
