"","method","k_num","ptime","k_orig","e","n","sample","sepVal","run","sampling_iteration","simulation_iteration"
"1","BIC_kluster_mean",4,0.881049999997485,19,-15,3610000,100,0.1,"SZBz9Ic",100,1
"2","cal_kluster_mean",15,1.30275000000838,19,-4,3610000,100,0.1,"SZBz9Ic",100,1
"3","pam_kluster_mean",2,0.0375699999986682,19,-17,3610000,100,0.1,"SZBz9Ic",100,1
"4","ap_kluster_mean",6,0.0241499999945518,19,-13,3610000,100,0.1,"SZBz9Ic",100,1
"5","BIC_kluster_frq",3,0.881049999997485,19,-16,3610000,100,0.1,"SZBz9Ic",100,1
"6","cal_kluster_frq",15,1.30275000000838,19,-4,3610000,100,0.1,"SZBz9Ic",100,1
"7","pam_kluster_frq",2,0.0375699999986682,19,-17,3610000,100,0.1,"SZBz9Ic",100,1
"8","ap_kluster_frq",6,0.0241499999945518,19,-13,3610000,100,0.1,"SZBz9Ic",100,1
"9","BIC_kluster_mean",11,4.9081399999978,19,-8,3610000,500,0.1,"SZBz9Ic",100,1
"10","cal_kluster_mean",15,4.98607000000775,19,-4,3610000,500,0.1,"SZBz9Ic",100,1
"11","pam_kluster_mean",2,1.17612000000081,19,-17,3610000,500,0.1,"SZBz9Ic",100,1
"12","ap_kluster_mean",18,0.624539999990957,19,-1,3610000,500,0.1,"SZBz9Ic",100,1
"13","BIC_kluster_frq",15,4.9081399999978,19,-4,3610000,500,0.1,"SZBz9Ic",100,1
"14","cal_kluster_frq",15,4.98607000000775,19,-4,3610000,500,0.1,"SZBz9Ic",100,1
"15","pam_kluster_frq",2,1.17612000000081,19,-17,3610000,500,0.1,"SZBz9Ic",100,1
"16","ap_kluster_frq",19,0.624539999990957,19,0,3610000,500,0.1,"SZBz9Ic",100,1
"17","BIC_kluster_mean",15,10.503679999999,19,-4,3610000,1000,0.1,"SZBz9Ic",100,1
"18","cal_kluster_mean",15,10.4883200000064,19,-4,3610000,1000,0.1,"SZBz9Ic",100,1
"19","pam_kluster_mean",2,6.25082999999868,19,-17,3610000,1000,0.1,"SZBz9Ic",100,1
"20","ap_kluster_mean",19,2.8302299999923,19,0,3610000,1000,0.1,"SZBz9Ic",100,1
"21","BIC_kluster_frq",15,10.503679999999,19,-4,3610000,1000,0.1,"SZBz9Ic",100,1
"22","cal_kluster_frq",15,10.4883200000064,19,-4,3610000,1000,0.1,"SZBz9Ic",100,1
"23","pam_kluster_frq",2,6.25082999999868,19,-17,3610000,1000,0.1,"SZBz9Ic",100,1
"24","ap_kluster_frq",19,2.8302299999923,19,0,3610000,1000,0.1,"SZBz9Ic",100,1
"25","BIC_kluster_mean",5,0.842260000003735,19,-14,3610000,100,0.2,"FgES3C2",100,1
"26","cal_kluster_mean",15,1.20072999999509,19,-4,3610000,100,0.2,"FgES3C2",100,1
"27","pam_kluster_mean",2,0.0374699999950826,19,-17,3610000,100,0.2,"FgES3C2",100,1
