"","method","k_num","ptime","k_orig","e","n","sample","sepVal","run","sampling_iteration","simulation_iteration"
"1","BIC_kluster_mean",4,0.96925000000163,22,-18,4840000,100,0.1,"GDNMGNd",100,1
"2","cal_kluster_mean",15,1.36730000000331,22,-7,4840000,100,0.1,"GDNMGNd",100,1
"3","pam_kluster_mean",2,0.0361299999966286,22,-20,4840000,100,0.1,"GDNMGNd",100,1
"4","ap_kluster_mean",6,0.0265500000014436,22,-16,4840000,100,0.1,"GDNMGNd",100,1
"5","BIC_kluster_frq",4,0.96925000000163,22,-18,4840000,100,0.1,"GDNMGNd",100,1
"6","cal_kluster_frq",15,1.36730000000331,22,-7,4840000,100,0.1,"GDNMGNd",100,1
"7","pam_kluster_frq",2,0.0361299999966286,22,-20,4840000,100,0.1,"GDNMGNd",100,1
"8","ap_kluster_frq",6,0.0265500000014436,22,-16,4840000,100,0.1,"GDNMGNd",100,1
"9","BIC_kluster_mean",6,6.56406999999774,22,-16,4840000,500,0.1,"GDNMGNd",100,1
"10","cal_kluster_mean",11,4.96411000000662,22,-11,4840000,500,0.1,"GDNMGNd",100,1
"11","pam_kluster_mean",2,1.12957999999751,22,-20,4840000,500,0.1,"GDNMGNd",100,1
"12","ap_kluster_mean",16,0.655669999999227,22,-6,4840000,500,0.1,"GDNMGNd",100,1
"13","BIC_kluster_frq",5,6.56406999999774,22,-17,4840000,500,0.1,"GDNMGNd",100,1
"14","cal_kluster_frq",15,4.96411000000662,22,-7,4840000,500,0.1,"GDNMGNd",100,1
"15","pam_kluster_frq",2,1.12957999999751,22,-20,4840000,500,0.1,"GDNMGNd",100,1
"16","ap_kluster_frq",17,0.655669999999227,22,-5,4840000,500,0.1,"GDNMGNd",100,1
"17","BIC_kluster_mean",12,13.8043500000006,22,-10,4840000,1000,0.1,"GDNMGNd",100,1
"18","cal_kluster_mean",9,10.4167499999993,22,-13,4840000,1000,0.1,"GDNMGNd",100,1
"19","pam_kluster_mean",2,5.32146999999532,22,-20,4840000,1000,0.1,"GDNMGNd",100,1
"20","ap_kluster_mean",22,2.89342000000412,22,0,4840000,1000,0.1,"GDNMGNd",100,1
"21","BIC_kluster_frq",15,13.8043500000006,22,-7,4840000,1000,0.1,"GDNMGNd",100,1
"22","cal_kluster_frq",7,10.4167499999993,22,-15,4840000,1000,0.1,"GDNMGNd",100,1
"23","pam_kluster_frq",2,5.32146999999532,22,-20,4840000,1000,0.1,"GDNMGNd",100,1
"24","ap_kluster_frq",22,2.89342000000412,22,0,4840000,1000,0.1,"GDNMGNd",100,1
"25","BIC_kluster_mean",4,0.954850000004517,22,-18,4840000,100,0.2,"u68jijv",100,1
"26","cal_kluster_mean",15,1.24683999999543,22,-7,4840000,100,0.2,"u68jijv",100,1
"27","pam_kluster_mean",2,0.0367000000050757,22,-20,4840000,100,0.2,"u68jijv",100,1
"28","ap_kluster_mean",6,0.0260100000002421,22,-16,4840000,100,0.2,"u68jijv",100,1
"29","BIC_kluster_frq",3,0.954850000004517,22,-19,4840000,100,0.2,"u68jijv",100,1
"30","cal_kluster_frq",15,1.24683999999543,22,-7,4840000,100,0.2,"u68jijv",100,1
"31","pam_kluster_frq",2,0.0367000000050757,22,-20,4840000,100,0.2,"u68jijv",100,1
"32","ap_kluster_frq",6,0.0260100000002421,22,-16,4840000,100,0.2,"u68jijv",100,1
"33","BIC_kluster_mean",9,6.15210000000312,22,-13,4840000,500,0.2,"u68jijv",100,1
"34","cal_kluster_mean",13,4.32553999999305,22,-9,4840000,500,0.2,"u68jijv",100,1
"35","pam_kluster_mean",2,1.08341999999597,22,-20,4840000,500,0.2,"u68jijv",100,1
"36","ap_kluster_mean",17,0.654340000003576,22,-5,4840000,500,0.2,"u68jijv",100,1
"37","BIC_kluster_frq",13,6.15210000000312,22,-9,4840000,500,0.2,"u68jijv",100,1
"38","cal_kluster_frq",15,4.32553999999305,22,-7,4840000,500,0.2,"u68jijv",100,1
"39","pam_kluster_frq",2,1.08341999999597,22,-20,4840000,500,0.2,"u68jijv",100,1
