"","method","k_num","ptime","k_orig","e","n","sample","sepVal","run","sampling_iteration","simulation_iteration"
"1","BIC_kluster_mean",4,1.0133499999973,24,-20,5760000,100,0.1,"kGW2Lxr",100,1
"2","cal_kluster_mean",14,1.21660999999614,24,-10,5760000,100,0.1,"kGW2Lxr",100,1
"3","pam_kluster_mean",2,0.0358799999835901,24,-22,5760000,100,0.1,"kGW2Lxr",100,1
"4","ap_kluster_mean",6,0.0247400000179186,24,-18,5760000,100,0.1,"kGW2Lxr",100,1
"5","BIC_kluster_frq",4,1.0133499999973,24,-20,5760000,100,0.1,"kGW2Lxr",100,1
"6","cal_kluster_frq",15,1.21660999999614,24,-9,5760000,100,0.1,"kGW2Lxr",100,1
"7","pam_kluster_frq",2,0.0358799999835901,24,-22,5760000,100,0.1,"kGW2Lxr",100,1
"8","ap_kluster_frq",6,0.0247400000179186,24,-18,5760000,100,0.1,"kGW2Lxr",100,1
"9","BIC_kluster_mean",6,7.11040999999735,24,-18,5760000,500,0.1,"kGW2Lxr",100,1
"10","cal_kluster_mean",9,4.31098000001162,24,-15,5760000,500,0.1,"kGW2Lxr",100,1
"11","pam_kluster_mean",2,1.09189999999013,24,-22,5760000,500,0.1,"kGW2Lxr",100,1
"12","ap_kluster_mean",13,0.644049999993294,24,-11,5760000,500,0.1,"kGW2Lxr",100,1
"13","BIC_kluster_frq",5,7.11040999999735,24,-19,5760000,500,0.1,"kGW2Lxr",100,1
"14","cal_kluster_frq",8,4.31098000001162,24,-16,5760000,500,0.1,"kGW2Lxr",100,1
"15","pam_kluster_frq",2,1.09189999999013,24,-22,5760000,500,0.1,"kGW2Lxr",100,1
"16","ap_kluster_frq",14,0.644049999993294,24,-10,5760000,500,0.1,"kGW2Lxr",100,1
"17","BIC_kluster_mean",14,15.5859199999995,24,-10,5760000,1000,0.1,"kGW2Lxr",100,1
"18","cal_kluster_mean",8,8.97579000000609,24,-16,5760000,1000,0.1,"kGW2Lxr",100,1
"19","pam_kluster_mean",2,5.3580299999984,24,-22,5760000,1000,0.1,"kGW2Lxr",100,1
"20","ap_kluster_mean",24,3.06646999998251,24,0,5760000,1000,0.1,"kGW2Lxr",100,1
"21","BIC_kluster_frq",15,15.5859199999995,24,-9,5760000,1000,0.1,"kGW2Lxr",100,1
"22","cal_kluster_frq",8,8.97579000000609,24,-16,5760000,1000,0.1,"kGW2Lxr",100,1
"23","pam_kluster_frq",2,5.3580299999984,24,-22,5760000,1000,0.1,"kGW2Lxr",100,1
