"","method","k_num","ptime","k_orig","e","n","sample","sepVal","run","sampling_iteration","simulation_iteration"
"1","BIC_kluster_mean",4,0.989220000011846,23,-19,5290000,100,0.1,"URwKuXt",100,1
"2","cal_kluster_mean",14,1.36042000001995,23,-9,5290000,100,0.1,"URwKuXt",100,1
"3","pam_kluster_mean",2,0.0381499999971129,23,-21,5290000,100,0.1,"URwKuXt",100,1
"4","ap_kluster_mean",6,0.0267500000004657,23,-17,5290000,100,0.1,"URwKuXt",100,1
"5","BIC_kluster_frq",3,0.989220000011846,23,-20,5290000,100,0.1,"URwKuXt",100,1
"6","cal_kluster_frq",15,1.36042000001995,23,-8,5290000,100,0.1,"URwKuXt",100,1
"7","pam_kluster_frq",2,0.0381499999971129,23,-21,5290000,100,0.1,"URwKuXt",100,1
"8","ap_kluster_frq",6,0.0267500000004657,23,-17,5290000,100,0.1,"URwKuXt",100,1
"9","BIC_kluster_mean",7,5.8165000000014,23,-16,5290000,500,0.1,"URwKuXt",100,1
"10","cal_kluster_mean",7,5.00911999998847,23,-16,5290000,500,0.1,"URwKuXt",100,1
"11","pam_kluster_mean",2,1.12786000000313,23,-21,5290000,500,0.1,"URwKuXt",100,1
"12","ap_kluster_mean",15,0.686990000011865,23,-8,5290000,500,0.1,"URwKuXt",100,1
"13","BIC_kluster_frq",7,5.8165000000014,23,-16,5290000,500,0.1,"URwKuXt",100,1
"14","cal_kluster_frq",6,5.00911999998847,23,-17,5290000,500,0.1,"URwKuXt",100,1
"15","pam_kluster_frq",2,1.12786000000313,23,-21,5290000,500,0.1,"URwKuXt",100,1
"16","ap_kluster_frq",14,0.686990000011865,23,-9,5290000,500,0.1,"URwKuXt",100,1
"17","BIC_kluster_mean",13,11.3142299999925,23,-10,5290000,1000,0.1,"URwKuXt",100,1
"18","cal_kluster_mean",6,10.5109300000058,23,-17,5290000,1000,0.1,"URwKuXt",100,1
"19","pam_kluster_mean",2,5.56337000000058,23,-21,5290000,1000,0.1,"URwKuXt",100,1
"20","ap_kluster_mean",23,3.21395999999484,23,0,5290000,1000,0.1,"URwKuXt",100,1
"21","BIC_kluster_frq",15,11.3142299999925,23,-8,5290000,1000,0.1,"URwKuXt",100,1
"22","cal_kluster_frq",7,10.5109300000058,23,-16,5290000,1000,0.1,"URwKuXt",100,1
"23","pam_kluster_frq",2,5.56337000000058,23,-21,5290000,1000,0.1,"URwKuXt",100,1
"24","ap_kluster_frq",23,3.21395999999484,23,0,5290000,1000,0.1,"URwKuXt",100,1
"25","BIC_kluster_mean",4,0.927909999992698,23,-19,5290000,100,0.2,"DxwRhHJ",100,1
"26","cal_kluster_mean",15,1.25218000001507,23,-8,5290000,100,0.2,"DxwRhHJ",100,1
"27","pam_kluster_mean",2,0.0361699999822304,23,-21,5290000,100,0.2,"DxwRhHJ",100,1
"28","ap_kluster_mean",6,0.0257299999939278,23,-17,5290000,100,0.2,"DxwRhHJ",100,1
"29","BIC_kluster_frq",4,0.927909999992698,23,-19,5290000,100,0.2,"DxwRhHJ",100,1
"30","cal_kluster_frq",15,1.25218000001507,23,-8,5290000,100,0.2,"DxwRhHJ",100,1
"31","pam_kluster_frq",2,0.0361699999822304,23,-21,5290000,100,0.2,"DxwRhHJ",100,1
"32","ap_kluster_frq",6,0.0257299999939278,23,-17,5290000,100,0.2,"DxwRhHJ",100,1
"33","BIC_kluster_mean",11,6.15107000001939,23,-12,5290000,500,0.2,"DxwRhHJ",100,1
"34","cal_kluster_mean",8,4.01095999999903,23,-15,5290000,500,0.2,"DxwRhHJ",100,1
"35","pam_kluster_mean",2,1.06847000000067,23,-21,5290000,500,0.2,"DxwRhHJ",100,1
"36","ap_kluster_mean",15,0.688689999994822,23,-8,5290000,500,0.2,"DxwRhHJ",100,1
"37","BIC_kluster_frq",15,6.15107000001939,23,-8,5290000,500,0.2,"DxwRhHJ",100,1
"38","cal_kluster_frq",8,4.01095999999903,23,-15,5290000,500,0.2,"DxwRhHJ",100,1
"39","pam_kluster_frq",2,1.06847000000067,23,-21,5290000,500,0.2,"DxwRhHJ",100,1
"40","ap_kluster_frq",15,0.688689999994822,23,-8,5290000,500,0.2,"DxwRhHJ",100,1
"41","BIC_kluster_mean",14,12.9340900000022,23,-9,5290000,1000,0.2,"DxwRhHJ",100,1
"42","cal_kluster_mean",7,8.15701000000117,23,-16,5290000,1000,0.2,"DxwRhHJ",100,1
"43","pam_kluster_mean",2,4.96796000000089,23,-21,5290000,1000,0.2,"DxwRhHJ",100,1
"44","ap_kluster_mean",23,2.86997999999905,23,0,5290000,1000,0.2,"DxwRhHJ",100,1
"45","BIC_kluster_frq",15,12.9340900000022,23,-8,5290000,1000,0.2,"DxwRhHJ",100,1
"46","cal_kluster_frq",8,8.15701000000117,23,-15,5290000,1000,0.2,"DxwRhHJ",100,1
"47","pam_kluster_frq",2,4.96796000000089,23,-21,5290000,1000,0.2,"DxwRhHJ",100,1
"48","ap_kluster_frq",23,2.86997999999905,23,0,5290000,1000,0.2,"DxwRhHJ",100,1
"49","BIC_kluster_mean",5,0.897670000016224,23,-18,5290000,100,0.3,"bgvXunx",100,1
"50","cal_kluster_mean",15,1.28462999999058,23,-8,5290000,100,0.3,"bgvXunx",100,1
"51","pam_kluster_mean",2,0.036629999994766,23,-21,5290000,100,0.3,"bgvXunx",100,1
"52","ap_kluster_mean",6,0.0252800000132993,23,-17,5290000,100,0.3,"bgvXunx",100,1
"53","BIC_kluster_frq",4,0.897670000016224,23,-19,5290000,100,0.3,"bgvXunx",100,1
"54","cal_kluster_frq",15,1.28462999999058,23,-8,5290000,100,0.3,"bgvXunx",100,1
"55","pam_kluster_frq",2,0.036629999994766,23,-21,5290000,100,0.3,"bgvXunx",100,1
"56","ap_kluster_frq",6,0.0252800000132993,23,-17,5290000,100,0.3,"bgvXunx",100,1
"57","BIC_kluster_mean",12,4.54693999999668,23,-11,5290000,500,0.3,"bgvXunx",100,1
"58","cal_kluster_mean",9,4.21618999999715,23,-14,5290000,500,0.3,"bgvXunx",100,1
"59","pam_kluster_mean",2,1.03436999999918,23,-21,5290000,500,0.3,"bgvXunx",100,1
"60","ap_kluster_mean",16,0.661400000003632,23,-7,5290000,500,0.3,"bgvXunx",100,1
"61","BIC_kluster_frq",15,4.54693999999668,23,-8,5290000,500,0.3,"bgvXunx",100,1
"62","cal_kluster_frq",7,4.21618999999715,23,-16,5290000,500,0.3,"bgvXunx",100,1
"63","pam_kluster_frq",2,1.03436999999918,23,-21,5290000,500,0.3,"bgvXunx",100,1
"64","ap_kluster_frq",16,0.661400000003632,23,-7,5290000,500,0.3,"bgvXunx",100,1
"65","BIC_kluster_mean",14,8.78928999998374,23,-9,5290000,1000,0.3,"bgvXunx",100,1
"66","cal_kluster_mean",8,8.40101999999955,23,-15,5290000,1000,0.3,"bgvXunx",100,1
"67","pam_kluster_mean",2,4.64218999999808,23,-21,5290000,1000,0.3,"bgvXunx",100,1
"68","ap_kluster_mean",23,3.32800999998581,23,0,5290000,1000,0.3,"bgvXunx",100,1
"69","BIC_kluster_frq",15,8.78928999998374,23,-8,5290000,1000,0.3,"bgvXunx",100,1
"70","cal_kluster_frq",7,8.40101999999955,23,-16,5290000,1000,0.3,"bgvXunx",100,1
"71","pam_kluster_frq",2,4.64218999999808,23,-21,5290000,1000,0.3,"bgvXunx",100,1
"72","ap_kluster_frq",23,3.32800999998581,23,0,5290000,1000,0.3,"bgvXunx",100,1
"73","BIC_kluster_mean",4,0.880839999970049,23,-19,5290000,100,0.4,"eKyuLR6",100,1
"74","cal_kluster_mean",15,1.25721000002231,23,-8,5290000,100,0.4,"eKyuLR6",100,1
"75","pam_kluster_mean",2,0.0364899999951012,23,-21,5290000,100,0.4,"eKyuLR6",100,1
"76","ap_kluster_mean",6,0.0261000000056811,23,-17,5290000,100,0.4,"eKyuLR6",100,1
"77","BIC_kluster_frq",4,0.880839999970049,23,-19,5290000,100,0.4,"eKyuLR6",100,1
"78","cal_kluster_frq",15,1.25721000002231,23,-8,5290000,100,0.4,"eKyuLR6",100,1
"79","pam_kluster_frq",2,0.0364899999951012,23,-21,5290000,100,0.4,"eKyuLR6",100,1
"80","ap_kluster_frq",6,0.0261000000056811,23,-17,5290000,100,0.4,"eKyuLR6",100,1
"81","BIC_kluster_mean",14,5.17038000000175,23,-9,5290000,500,0.4,"eKyuLR6",100,1
"82","cal_kluster_mean",11,3.77833000000333,23,-12,5290000,500,0.4,"eKyuLR6",100,1
"83","pam_kluster_mean",2,1.00578000000445,23,-21,5290000,500,0.4,"eKyuLR6",100,1
"84","ap_kluster_mean",17,0.706159999987576,23,-6,5290000,500,0.4,"eKyuLR6",100,1
"85","BIC_kluster_frq",15,5.17038000000175,23,-8,5290000,500,0.4,"eKyuLR6",100,1
"86","cal_kluster_frq",15,3.77833000000333,23,-8,5290000,500,0.4,"eKyuLR6",100,1
"87","pam_kluster_frq",2,1.00578000000445,23,-21,5290000,500,0.4,"eKyuLR6",100,1
"88","ap_kluster_frq",17,0.706159999987576,23,-6,5290000,500,0.4,"eKyuLR6",100,1
"89","BIC_kluster_mean",14,10.2354499999946,23,-9,5290000,1000,0.4,"eKyuLR6",100,1
"90","cal_kluster_mean",8,7.15127000000328,23,-15,5290000,1000,0.4,"eKyuLR6",100,1
"91","pam_kluster_mean",2,4.39179999999236,23,-21,5290000,1000,0.4,"eKyuLR6",100,1
"92","ap_kluster_mean",23,3.21476000000024,23,0,5290000,1000,0.4,"eKyuLR6",100,1
"93","BIC_kluster_frq",15,10.2354499999946,23,-8,5290000,1000,0.4,"eKyuLR6",100,1
"94","cal_kluster_frq",8,7.15127000000328,23,-15,5290000,1000,0.4,"eKyuLR6",100,1
"95","pam_kluster_frq",2,4.39179999999236,23,-21,5290000,1000,0.4,"eKyuLR6",100,1
"96","ap_kluster_frq",23,3.21476000000024,23,0,5290000,1000,0.4,"eKyuLR6",100,1
"97","BIC_kluster_mean",4,0.871529999994673,23,-19,5290000,100,0.5,"boO4N7c",100,1
"98","cal_kluster_mean",15,1.20113000000361,23,-8,5290000,100,0.5,"boO4N7c",100,1
"99","pam_kluster_mean",2,0.0378699999954551,23,-21,5290000,100,0.5,"boO4N7c",100,1
"100","ap_kluster_mean",6,0.0258800000092015,23,-17,5290000,100,0.5,"boO4N7c",100,1
"101","BIC_kluster_frq",4,0.871529999994673,23,-19,5290000,100,0.5,"boO4N7c",100,1
"102","cal_kluster_frq",15,1.20113000000361,23,-8,5290000,100,0.5,"boO4N7c",100,1
"103","pam_kluster_frq",2,0.0378699999954551,23,-21,5290000,100,0.5,"boO4N7c",100,1
"104","ap_kluster_frq",6,0.0258800000092015,23,-17,5290000,100,0.5,"boO4N7c",100,1
"105","BIC_kluster_mean",15,4.62163000000408,23,-8,5290000,500,0.5,"boO4N7c",100,1
"106","cal_kluster_mean",13,3.37957999999402,23,-10,5290000,500,0.5,"boO4N7c",100,1
"107","pam_kluster_mean",2,0.965800000024028,23,-21,5290000,500,0.5,"boO4N7c",100,1
"108","ap_kluster_mean",18,0.667109999998938,23,-5,5290000,500,0.5,"boO4N7c",100,1
"109","BIC_kluster_frq",15,4.62163000000408,23,-8,5290000,500,0.5,"boO4N7c",100,1
"110","cal_kluster_frq",15,3.37957999999402,23,-8,5290000,500,0.5,"boO4N7c",100,1
"111","pam_kluster_frq",2,0.965800000024028,23,-21,5290000,500,0.5,"boO4N7c",100,1
"112","ap_kluster_frq",19,0.667109999998938,23,-4,5290000,500,0.5,"boO4N7c",100,1
"113","BIC_kluster_mean",15,9.72501999999862,23,-8,5290000,1000,0.5,"boO4N7c",100,1
"114","cal_kluster_mean",9,6.21249999999534,23,-14,5290000,1000,0.5,"boO4N7c",100,1
"115","pam_kluster_mean",2,4.31291999999201,23,-21,5290000,1000,0.5,"boO4N7c",100,1
"116","ap_kluster_mean",23,3.66996999998111,23,0,5290000,1000,0.5,"boO4N7c",100,1
"117","BIC_kluster_frq",15,9.72501999999862,23,-8,5290000,1000,0.5,"boO4N7c",100,1
"118","cal_kluster_frq",8,6.21249999999534,23,-15,5290000,1000,0.5,"boO4N7c",100,1
"119","pam_kluster_frq",2,4.31291999999201,23,-21,5290000,1000,0.5,"boO4N7c",100,1
"120","ap_kluster_frq",23,3.66996999998111,23,0,5290000,1000,0.5,"boO4N7c",100,1
"121","BIC_kluster_mean",4,0.806559999994934,23,-19,5290000,100,0.6,"JWwgJ39",100,1
"122","cal_kluster_mean",15,1.11519000001485,23,-8,5290000,100,0.6,"JWwgJ39",100,1
"123","pam_kluster_mean",2,0.0367499999864958,23,-21,5290000,100,0.6,"JWwgJ39",100,1
"124","ap_kluster_mean",6,0.0255599999870174,23,-17,5290000,100,0.6,"JWwgJ39",100,1
"125","BIC_kluster_frq",4,0.806559999994934,23,-19,5290000,100,0.6,"JWwgJ39",100,1
"126","cal_kluster_frq",15,1.11519000001485,23,-8,5290000,100,0.6,"JWwgJ39",100,1
"127","pam_kluster_frq",2,0.0367499999864958,23,-21,5290000,100,0.6,"JWwgJ39",100,1
"128","ap_kluster_frq",6,0.0255599999870174,23,-17,5290000,100,0.6,"JWwgJ39",100,1
