"","method","k_num","ptime","k_orig","e","n","sample","sepVal","run","sampling_iteration","simulation_iteration"
"1","BIC_kluster_mean",4,0.853719999992754,17,-13,2890000,100,0.1,"685CGZr",100,1
"2","cal_kluster_mean",15,1.27866999999969,17,-2,2890000,100,0.1,"685CGZr",100,1
"3","pam_kluster_mean",2,0.0394199999980629,17,-15,2890000,100,0.1,"685CGZr",100,1
"4","ap_kluster_mean",6,0.0256199999968521,17,-11,2890000,100,0.1,"685CGZr",100,1
"5","BIC_kluster_frq",4,0.853719999992754,17,-13,2890000,100,0.1,"685CGZr",100,1
"6","cal_kluster_frq",15,1.27866999999969,17,-2,2890000,100,0.1,"685CGZr",100,1
"7","pam_kluster_frq",2,0.0394199999980629,17,-15,2890000,100,0.1,"685CGZr",100,1
"8","ap_kluster_frq",6,0.0256199999968521,17,-11,2890000,100,0.1,"685CGZr",100,1
"9","BIC_kluster_mean",9,5.46052000000025,17,-8,2890000,500,0.1,"685CGZr",100,1
"10","cal_kluster_mean",15,4.71784000000334,17,-2,2890000,500,0.1,"685CGZr",100,1
"11","pam_kluster_mean",2,1.273479999993,17,-15,2890000,500,0.1,"685CGZr",100,1
"12","ap_kluster_mean",17,0.584939999991329,17,0,2890000,500,0.1,"685CGZr",100,1
"13","BIC_kluster_frq",15,5.46052000000025,17,-2,2890000,500,0.1,"685CGZr",100,1
"14","cal_kluster_frq",15,4.71784000000334,17,-2,2890000,500,0.1,"685CGZr",100,1
"15","pam_kluster_frq",2,1.273479999993,17,-15,2890000,500,0.1,"685CGZr",100,1
"16","ap_kluster_frq",17,0.584939999991329,17,0,2890000,500,0.1,"685CGZr",100,1
"17","BIC_kluster_mean",14,12.2762799999991,17,-3,2890000,1000,0.1,"685CGZr",100,1
"18","cal_kluster_mean",15,9.87521999999415,17,-2,2890000,1000,0.1,"685CGZr",100,1
"19","pam_kluster_mean",2,6.1176100000029,17,-15,2890000,1000,0.1,"685CGZr",100,1
"20","ap_kluster_mean",17,2.83707000000169,17,0,2890000,1000,0.1,"685CGZr",100,1
"21","BIC_kluster_frq",15,12.2762799999991,17,-2,2890000,1000,0.1,"685CGZr",100,1
"22","cal_kluster_frq",15,9.87521999999415,17,-2,2890000,1000,0.1,"685CGZr",100,1
"23","pam_kluster_frq",2,6.1176100000029,17,-15,2890000,1000,0.1,"685CGZr",100,1
"24","ap_kluster_frq",17,2.83707000000169,17,0,2890000,1000,0.1,"685CGZr",100,1
"25","BIC_kluster_mean",4,0.747580000002636,17,-13,2890000,100,0.2,"epVxBlZ",100,1
"26","cal_kluster_mean",15,1.1770900000073,17,-2,2890000,100,0.2,"epVxBlZ",100,1
"27","pam_kluster_mean",2,0.0383299999975134,17,-15,2890000,100,0.2,"epVxBlZ",100,1
"28","ap_kluster_mean",6,0.0241999999969266,17,-11,2890000,100,0.2,"epVxBlZ",100,1
"29","BIC_kluster_frq",3,0.747580000002636,17,-14,2890000,100,0.2,"epVxBlZ",100,1
"30","cal_kluster_frq",15,1.1770900000073,17,-2,2890000,100,0.2,"epVxBlZ",100,1
"31","pam_kluster_frq",2,0.0383299999975134,17,-15,2890000,100,0.2,"epVxBlZ",100,1
"32","ap_kluster_frq",6,0.0241999999969266,17,-11,2890000,100,0.2,"epVxBlZ",100,1
"33","BIC_kluster_mean",15,4.33722999999882,17,-2,2890000,500,0.2,"epVxBlZ",100,1
