"","method","k_num","ptime","k_orig","e","n","sample","sepVal","run","sampling_iteration","simulation_iteration"
"1","BIC_kluster_mean",4,1.00020000000019,25,-21,6250000,100,0.1,"Kee2zIY",100,1
"2","cal_kluster_mean",14,1.30054000000237,25,-11,6250000,100,0.1,"Kee2zIY",100,1
"3","pam_kluster_mean",2,0.0357199999992736,25,-23,6250000,100,0.1,"Kee2zIY",100,1
"4","ap_kluster_mean",6,0.0240399999939837,25,-19,6250000,100,0.1,"Kee2zIY",100,1
"5","BIC_kluster_frq",3,1.00020000000019,25,-22,6250000,100,0.1,"Kee2zIY",100,1
"6","cal_kluster_frq",15,1.30054000000237,25,-10,6250000,100,0.1,"Kee2zIY",100,1
"7","pam_kluster_frq",2,0.0357199999992736,25,-23,6250000,100,0.1,"Kee2zIY",100,1
"8","ap_kluster_frq",6,0.0240399999939837,25,-19,6250000,100,0.1,"Kee2zIY",100,1
"9","BIC_kluster_mean",7,6.58450000000652,25,-18,6250000,500,0.1,"Kee2zIY",100,1
"10","cal_kluster_mean",7,5.02515999999363,25,-18,6250000,500,0.1,"Kee2zIY",100,1
"11","pam_kluster_mean",2,1.11202999999514,25,-23,6250000,500,0.1,"Kee2zIY",100,1
"12","ap_kluster_mean",12,0.648580000007059,25,-13,6250000,500,0.1,"Kee2zIY",100,1
"13","BIC_kluster_frq",6,6.58450000000652,25,-19,6250000,500,0.1,"Kee2zIY",100,1
"14","cal_kluster_frq",8,5.02515999999363,25,-17,6250000,500,0.1,"Kee2zIY",100,1
"15","pam_kluster_frq",2,1.11202999999514,25,-23,6250000,500,0.1,"Kee2zIY",100,1
"16","ap_kluster_frq",12,0.648580000007059,25,-13,6250000,500,0.1,"Kee2zIY",100,1
"17","BIC_kluster_mean",10,13.3795000000088,25,-15,6250000,1000,0.1,"Kee2zIY",100,1
"18","cal_kluster_mean",7,10.6801400000067,25,-18,6250000,1000,0.1,"Kee2zIY",100,1
"19","pam_kluster_mean",2,5.60871999998111,25,-23,6250000,1000,0.1,"Kee2zIY",100,1
"20","ap_kluster_mean",24,3.20320999999298,25,-1,6250000,1000,0.1,"Kee2zIY",100,1
"21","BIC_kluster_frq",7,13.3795000000088,25,-18,6250000,1000,0.1,"Kee2zIY",100,1
"22","cal_kluster_frq",8,10.6801400000067,25,-17,6250000,1000,0.1,"Kee2zIY",100,1
