"","method","k_num","ptime","k_orig","e","n","sample","sepVal","run","sampling_iteration","simulation_iteration"
"1","BIC_kluster_mean",7,0.62264000000665,7,0,490000,100,0.1,"cQO36z7",100,1
"2","cal_kluster_mean",10,1.29952999999048,7,3,490000,100,0.1,"cQO36z7",100,1
"3","pam_kluster_mean",7,0.0396299999987241,7,0,490000,100,0.1,"cQO36z7",100,1
"4","ap_kluster_mean",7,0.0234400000039022,7,0,490000,100,0.1,"cQO36z7",100,1
"5","BIC_kluster_frq",7,0.62264000000665,7,0,490000,100,0.1,"cQO36z7",100,1
"6","cal_kluster_frq",7,1.29952999999048,7,0,490000,100,0.1,"cQO36z7",100,1
"7","pam_kluster_frq",7,0.0396299999987241,7,0,490000,100,0.1,"cQO36z7",100,1
"8","ap_kluster_frq",7,0.0234400000039022,7,0,490000,100,0.1,"cQO36z7",100,1
"9","BIC_kluster_mean",7,5.58947000000277,7,0,490000,500,0.1,"cQO36z7",100,1
"10","cal_kluster_mean",7,4.85971999999834,7,0,490000,500,0.1,"cQO36z7",100,1
"11","pam_kluster_mean",7,1.17828000000445,7,0,490000,500,0.1,"cQO36z7",100,1
"12","ap_kluster_mean",14,0.665389999999898,7,7,490000,500,0.1,"cQO36z7",100,1
"13","BIC_kluster_frq",7,5.58947000000277,7,0,490000,500,0.1,"cQO36z7",100,1
"14","cal_kluster_frq",7,4.85971999999834,7,0,490000,500,0.1,"cQO36z7",100,1
"15","pam_kluster_frq",7,1.17828000000445,7,0,490000,500,0.1,"cQO36z7",100,1
"16","ap_kluster_frq",14,0.665389999999898,7,7,490000,500,0.1,"cQO36z7",100,1
"17","BIC_kluster_mean",7,11.1839299999946,7,0,490000,1000,0.1,"cQO36z7",100,1
"18","cal_kluster_mean",7,10.3950099999981,7,0,490000,1000,0.1,"cQO36z7",100,1
"19","pam_kluster_mean",7,5.679790000004,7,0,490000,1000,0.1,"cQO36z7",100,1
"20","ap_kluster_mean",20,3.87967000000179,7,13,490000,1000,0.1,"cQO36z7",100,1
"21","BIC_kluster_frq",7,11.1839299999946,7,0,490000,1000,0.1,"cQO36z7",100,1
"22","cal_kluster_frq",7,10.3950099999981,7,0,490000,1000,0.1,"cQO36z7",100,1
"23","pam_kluster_frq",7,5.679790000004,7,0,490000,1000,0.1,"cQO36z7",100,1
"24","ap_kluster_frq",20,3.87967000000179,7,13,490000,1000,0.1,"cQO36z7",100,1
"25","BIC_kluster_mean",7,0.499540000008419,7,0,490000,100,0.2,"u6emt68",100,1
"26","cal_kluster_mean",8,1.20448000000091,7,1,490000,100,0.2,"u6emt68",100,1
"27","pam_kluster_mean",7,0.0366199999966193,7,0,490000,100,0.2,"u6emt68",100,1
"28","ap_kluster_mean",7,0.0231600000069011,7,0,490000,100,0.2,"u6emt68",100,1
"29","BIC_kluster_frq",7,0.499540000008419,7,0,490000,100,0.2,"u6emt68",100,1
"30","cal_kluster_frq",7,1.20448000000091,7,0,490000,100,0.2,"u6emt68",100,1
"31","pam_kluster_frq",7,0.0366199999966193,7,0,490000,100,0.2,"u6emt68",100,1
"32","ap_kluster_frq",7,0.0231600000069011,7,0,490000,100,0.2,"u6emt68",100,1
"33","BIC_kluster_mean",7,5.10079000000609,7,0,490000,500,0.2,"u6emt68",100,1
"34","cal_kluster_mean",7,4.16580000000307,7,0,490000,500,0.2,"u6emt68",100,1
"35","pam_kluster_mean",7,1.08608000000007,7,0,490000,500,0.2,"u6emt68",100,1
"36","ap_kluster_mean",11,0.725230000001611,7,4,490000,500,0.2,"u6emt68",100,1
"37","BIC_kluster_frq",7,5.10079000000609,7,0,490000,500,0.2,"u6emt68",100,1
"38","cal_kluster_frq",7,4.16580000000307,7,0,490000,500,0.2,"u6emt68",100,1
"39","pam_kluster_frq",7,1.08608000000007,7,0,490000,500,0.2,"u6emt68",100,1
"40","ap_kluster_frq",11,0.725230000001611,7,4,490000,500,0.2,"u6emt68",100,1
"41","BIC_kluster_mean",7,9.55089999999385,7,0,490000,1000,0.2,"u6emt68",100,1
"42","cal_kluster_mean",7,8.42484999999055,7,0,490000,1000,0.2,"u6emt68",100,1
"43","pam_kluster_mean",7,5.01001000000862,7,0,490000,1000,0.2,"u6emt68",100,1
"44","ap_kluster_mean",17,3.66490000000689,7,10,490000,1000,0.2,"u6emt68",100,1
"45","BIC_kluster_frq",7,9.55089999999385,7,0,490000,1000,0.2,"u6emt68",100,1
"46","cal_kluster_frq",7,8.42484999999055,7,0,490000,1000,0.2,"u6emt68",100,1
"47","pam_kluster_frq",7,5.01001000000862,7,0,490000,1000,0.2,"u6emt68",100,1
"48","ap_kluster_frq",17,3.66490000000689,7,10,490000,1000,0.2,"u6emt68",100,1
"49","BIC_kluster_mean",7,0.39099000000162,7,0,490000,100,0.3,"aoB8iug",100,1
"50","cal_kluster_mean",8,1.27856000000495,7,1,490000,100,0.3,"aoB8iug",100,1
"51","pam_kluster_mean",7,0.0371299999975599,7,0,490000,100,0.3,"aoB8iug",100,1
"52","ap_kluster_mean",7,0.0256200000003446,7,0,490000,100,0.3,"aoB8iug",100,1
"53","BIC_kluster_frq",7,0.39099000000162,7,0,490000,100,0.3,"aoB8iug",100,1
"54","cal_kluster_frq",7,1.27856000000495,7,0,490000,100,0.3,"aoB8iug",100,1
