"","method","k_num","ptime","k_orig","e","n","sample","sepVal","run","sampling_iteration","simulation_iteration"
"1","BIC_kluster_mean",5,0.616399999995483,12,-7,1440000,100,0.1,"A40ArW3",100,1
"2","cal_kluster_mean",14,1.22759000000078,12,2,1440000,100,0.1,"A40ArW3",100,1
"3","pam_kluster_mean",5,0.0395500000088941,12,-7,1440000,100,0.1,"A40ArW3",100,1
"4","ap_kluster_mean",9,0.0278200000035577,12,-3,1440000,100,0.1,"A40ArW3",100,1
"5","BIC_kluster_frq",3,0.616399999995483,12,-9,1440000,100,0.1,"A40ArW3",100,1
"6","cal_kluster_frq",15,1.22759000000078,12,3,1440000,100,0.1,"A40ArW3",100,1
"7","pam_kluster_frq",2,0.0395500000088941,12,-10,1440000,100,0.1,"A40ArW3",100,1
"8","ap_kluster_frq",9,0.0278200000035577,12,-3,1440000,100,0.1,"A40ArW3",100,1
"9","BIC_kluster_mean",12,4.27896000000648,12,0,1440000,500,0.1,"A40ArW3",100,1
"10","cal_kluster_mean",12,4.46684000000241,12,0,1440000,500,0.1,"A40ArW3",100,1
"11","pam_kluster_mean",3,1.22182000000146,12,-9,1440000,500,0.1,"A40ArW3",100,1
"12","ap_kluster_mean",12,0.571620000001276,12,0,1440000,500,0.1,"A40ArW3",100,1
"13","BIC_kluster_frq",12,4.27896000000648,12,0,1440000,500,0.1,"A40ArW3",100,1
"14","cal_kluster_frq",12,4.46684000000241,12,0,1440000,500,0.1,"A40ArW3",100,1
"15","pam_kluster_frq",2,1.22182000000146,12,-10,1440000,500,0.1,"A40ArW3",100,1
"16","ap_kluster_frq",12,0.571620000001276,12,0,1440000,500,0.1,"A40ArW3",100,1
"17","BIC_kluster_mean",12,9.71286000000313,12,0,1440000,1000,0.1,"A40ArW3",100,1
"18","cal_kluster_mean",12,9.23580000000657,12,0,1440000,1000,0.1,"A40ArW3",100,1
"19","pam_kluster_mean",2,5.77873000000138,12,-10,1440000,1000,0.1,"A40ArW3",100,1
"20","ap_kluster_mean",14,3.4951099999994,12,2,1440000,1000,0.1,"A40ArW3",100,1
"21","BIC_kluster_frq",12,9.71286000000313,12,0,1440000,1000,0.1,"A40ArW3",100,1
"22","cal_kluster_frq",12,9.23580000000657,12,0,1440000,1000,0.1,"A40ArW3",100,1
"23","pam_kluster_frq",2,5.77873000000138,12,-10,1440000,1000,0.1,"A40ArW3",100,1
"24","ap_kluster_frq",14,3.4951099999994,12,2,1440000,1000,0.1,"A40ArW3",100,1
"25","BIC_kluster_mean",11,0.512829999990063,12,-1,1440000,100,0.2,"kUQ6AJT",100,1
"26","cal_kluster_mean",14,1.29737999999663,12,2,1440000,100,0.2,"kUQ6AJT",100,1
"27","pam_kluster_mean",9,0.0392100000090431,12,-3,1440000,100,0.2,"kUQ6AJT",100,1
"28","ap_kluster_mean",9,0.0263699999963865,12,-3,1440000,100,0.2,"kUQ6AJT",100,1
"29","BIC_kluster_frq",12,0.512829999990063,12,0,1440000,100,0.2,"kUQ6AJT",100,1
"30","cal_kluster_frq",15,1.29737999999663,12,3,1440000,100,0.2,"kUQ6AJT",100,1
"31","pam_kluster_frq",10,0.0392100000090431,12,-2,1440000,100,0.2,"kUQ6AJT",100,1
"32","ap_kluster_frq",9,0.0263699999963865,12,-3,1440000,100,0.2,"kUQ6AJT",100,1
"33","BIC_kluster_mean",12,3.51997000000207,12,0,1440000,500,0.2,"kUQ6AJT",100,1
"34","cal_kluster_mean",13,4.76438999999664,12,1,1440000,500,0.2,"kUQ6AJT",100,1
"35","pam_kluster_mean",7,1.23813000000431,12,-5,1440000,500,0.2,"kUQ6AJT",100,1
"36","ap_kluster_mean",12,0.584099999999162,12,0,1440000,500,0.2,"kUQ6AJT",100,1
"37","BIC_kluster_frq",12,3.51997000000207,12,0,1440000,500,0.2,"kUQ6AJT",100,1
"38","cal_kluster_frq",13,4.76438999999664,12,1,1440000,500,0.2,"kUQ6AJT",100,1
"39","pam_kluster_frq",10,1.23813000000431,12,-2,1440000,500,0.2,"kUQ6AJT",100,1
"40","ap_kluster_frq",12,0.584099999999162,12,0,1440000,500,0.2,"kUQ6AJT",100,1
"41","BIC_kluster_mean",12,7.56373999999487,12,0,1440000,1000,0.2,"kUQ6AJT",100,1
