"","method","k_num","ptime","k_orig","e","n","sample","sepVal","run","sampling_iteration","simulation_iteration"
"1","BIC_kluster_mean",6,0.567129999995232,6,0,360000,100,0.1,"SpA4OI0",100,1
"2","cal_kluster_mean",11,1.28724000000162,6,5,360000,100,0.1,"SpA4OI0",100,1
"3","pam_kluster_mean",6,0.0382200000039302,6,0,360000,100,0.1,"SpA4OI0",100,1
"4","ap_kluster_mean",6,0.02416999999783,6,0,360000,100,0.1,"SpA4OI0",100,1
"5","BIC_kluster_frq",6,0.567129999995232,6,0,360000,100,0.1,"SpA4OI0",100,1
"6","cal_kluster_frq",15,1.28724000000162,6,9,360000,100,0.1,"SpA4OI0",100,1
"7","pam_kluster_frq",6,0.0382200000039302,6,0,360000,100,0.1,"SpA4OI0",100,1
"8","ap_kluster_frq",6,0.02416999999783,6,0,360000,100,0.1,"SpA4OI0",100,1
"9","BIC_kluster_mean",6,6.13253999999142,6,0,360000,500,0.1,"SpA4OI0",100,1
"10","cal_kluster_mean",6,4.82273999999976,6,0,360000,500,0.1,"SpA4OI0",100,1
"11","pam_kluster_mean",6,1.18051000000327,6,0,360000,500,0.1,"SpA4OI0",100,1
"12","ap_kluster_mean",13,0.679830000004731,6,7,360000,500,0.1,"SpA4OI0",100,1
"13","BIC_kluster_frq",6,6.13253999999142,6,0,360000,500,0.1,"SpA4OI0",100,1
"14","cal_kluster_frq",6,4.82273999999976,6,0,360000,500,0.1,"SpA4OI0",100,1
"15","pam_kluster_frq",6,1.18051000000327,6,0,360000,500,0.1,"SpA4OI0",100,1
"16","ap_kluster_frq",13,0.679830000004731,6,7,360000,500,0.1,"SpA4OI0",100,1
"17","BIC_kluster_mean",6,12.5473700000066,6,0,360000,1000,0.1,"SpA4OI0",100,1
"18","cal_kluster_mean",6,10.3089300000085,6,0,360000,1000,0.1,"SpA4OI0",100,1
"19","pam_kluster_mean",6,5.53377999999677,6,0,360000,1000,0.1,"SpA4OI0",100,1
"20","ap_kluster_mean",18,3.41172000000835,6,12,360000,1000,0.1,"SpA4OI0",100,1
"21","BIC_kluster_frq",6,12.5473700000066,6,0,360000,1000,0.1,"SpA4OI0",100,1
"22","cal_kluster_frq",6,10.3089300000085,6,0,360000,1000,0.1,"SpA4OI0",100,1
"23","pam_kluster_frq",6,5.53377999999677,6,0,360000,1000,0.1,"SpA4OI0",100,1
"24","ap_kluster_frq",18,3.41172000000835,6,12,360000,1000,0.1,"SpA4OI0",100,1
"25","BIC_kluster_mean",6,0.477529999997932,6,0,360000,100,0.2,"UhkWLt4",100,1
"26","cal_kluster_mean",10,1.21236000000848,6,4,360000,100,0.2,"UhkWLt4",100,1
"27","pam_kluster_mean",6,0.037239999998128,6,0,360000,100,0.2,"UhkWLt4",100,1
"28","ap_kluster_mean",6,0.0240999999945052,6,0,360000,100,0.2,"UhkWLt4",100,1
"29","BIC_kluster_frq",6,0.477529999997932,6,0,360000,100,0.2,"UhkWLt4",100,1
"30","cal_kluster_frq",6,1.21236000000848,6,0,360000,100,0.2,"UhkWLt4",100,1
"31","pam_kluster_frq",6,0.037239999998128,6,0,360000,100,0.2,"UhkWLt4",100,1
"32","ap_kluster_frq",6,0.0240999999945052,6,0,360000,100,0.2,"UhkWLt4",100,1
"33","BIC_kluster_mean",6,5.33731999999727,6,0,360000,500,0.2,"UhkWLt4",100,1
"34","cal_kluster_mean",6,4.26752000000561,6,0,360000,500,0.2,"UhkWLt4",100,1
"35","pam_kluster_mean",6,1.12674999999581,6,0,360000,500,0.2,"UhkWLt4",100,1
"36","ap_kluster_mean",11,0.676130000007106,6,5,360000,500,0.2,"UhkWLt4",100,1
"37","BIC_kluster_frq",6,5.33731999999727,6,0,360000,500,0.2,"UhkWLt4",100,1
"38","cal_kluster_frq",6,4.26752000000561,6,0,360000,500,0.2,"UhkWLt4",100,1
"39","pam_kluster_frq",6,1.12674999999581,6,0,360000,500,0.2,"UhkWLt4",100,1
"40","ap_kluster_frq",11,0.676130000007106,6,5,360000,500,0.2,"UhkWLt4",100,1
"41","BIC_kluster_mean",6,10.5834100000025,6,0,360000,1000,0.2,"UhkWLt4",100,1
"42","cal_kluster_mean",6,8.70343000000576,6,0,360000,1000,0.2,"UhkWLt4",100,1
"43","pam_kluster_mean",6,5.16525999999954,6,0,360000,1000,0.2,"UhkWLt4",100,1
"44","ap_kluster_mean",15,3.5110199999949,6,9,360000,1000,0.2,"UhkWLt4",100,1
"45","BIC_kluster_frq",6,10.5834100000025,6,0,360000,1000,0.2,"UhkWLt4",100,1
"46","cal_kluster_frq",6,8.70343000000576,6,0,360000,1000,0.2,"UhkWLt4",100,1
"47","pam_kluster_frq",6,5.16525999999954,6,0,360000,1000,0.2,"UhkWLt4",100,1
"48","ap_kluster_frq",15,3.5110199999949,6,9,360000,1000,0.2,"UhkWLt4",100,1
"49","BIC_kluster_mean",6,0.402070000001695,6,0,360000,100,0.3,"mZbDyPw",100,1
"50","cal_kluster_mean",8,1.1703699999908,6,2,360000,100,0.3,"mZbDyPw",100,1
"51","pam_kluster_mean",6,0.0370799999998417,6,0,360000,100,0.3,"mZbDyPw",100,1
"52","ap_kluster_mean",6,0.0245500000019092,6,0,360000,100,0.3,"mZbDyPw",100,1
"53","BIC_kluster_frq",6,0.402070000001695,6,0,360000,100,0.3,"mZbDyPw",100,1
