"","method","k_num","ptime","k_orig","e","n","sample","sepVal","run","sampling_iteration","simulation_iteration"
"1","BIC_kluster_mean",4,0.9709899999958,20,-16,4000000,100,0.1,"pgljHMf",100,1
"2","cal_kluster_mean",15,1.29724000000628,20,-5,4000000,100,0.1,"pgljHMf",100,1
"3","pam_kluster_mean",2,0.0363499999954365,20,-18,4000000,100,0.1,"pgljHMf",100,1
"4","ap_kluster_mean",6,0.02544999999227,20,-14,4000000,100,0.1,"pgljHMf",100,1
"5","BIC_kluster_frq",3,0.9709899999958,20,-17,4000000,100,0.1,"pgljHMf",100,1
"6","cal_kluster_frq",15,1.29724000000628,20,-5,4000000,100,0.1,"pgljHMf",100,1
"7","pam_kluster_frq",2,0.0363499999954365,20,-18,4000000,100,0.1,"pgljHMf",100,1
"8","ap_kluster_frq",6,0.02544999999227,20,-14,4000000,100,0.1,"pgljHMf",100,1
"9","BIC_kluster_mean",6,6.69993999999948,20,-14,4000000,500,0.1,"pgljHMf",100,1
"10","cal_kluster_mean",15,4.62337999999989,20,-5,4000000,500,0.1,"pgljHMf",100,1
"11","pam_kluster_mean",2,1.12917999998899,20,-18,4000000,500,0.1,"pgljHMf",100,1
"12","ap_kluster_mean",18,0.641669999998994,20,-2,4000000,500,0.1,"pgljHMf",100,1
"13","BIC_kluster_frq",5,6.69993999999948,20,-15,4000000,500,0.1,"pgljHMf",100,1
"14","cal_kluster_frq",15,4.62337999999989,20,-5,4000000,500,0.1,"pgljHMf",100,1
"15","pam_kluster_frq",2,1.12917999998899,20,-18,4000000,500,0.1,"pgljHMf",100,1
"16","ap_kluster_frq",18,0.641669999998994,20,-2,4000000,500,0.1,"pgljHMf",100,1
"17","BIC_kluster_mean",13,15.2581000000029,20,-7,4000000,1000,0.1,"pgljHMf",100,1
"18","cal_kluster_mean",14,9.69295999999391,20,-6,4000000,1000,0.1,"pgljHMf",100,1
"19","pam_kluster_mean",2,5.56862000000197,20,-18,4000000,1000,0.1,"pgljHMf",100,1
"20","ap_kluster_mean",20,2.97537000000477,20,0,4000000,1000,0.1,"pgljHMf",100,1
"21","BIC_kluster_frq",15,15.2581000000029,20,-5,4000000,1000,0.1,"pgljHMf",100,1
"22","cal_kluster_frq",15,9.69295999999391,20,-5,4000000,1000,0.1,"pgljHMf",100,1
"23","pam_kluster_frq",2,5.56862000000197,20,-18,4000000,1000,0.1,"pgljHMf",100,1
"24","ap_kluster_frq",20,2.97537000000477,20,0,4000000,1000,0.1,"pgljHMf",100,1
"25","BIC_kluster_mean",4,0.877599999997765,20,-16,4000000,100,0.2,"tB9ub6Q",100,1
"26","cal_kluster_mean",15,1.20974000000162,20,-5,4000000,100,0.2,"tB9ub6Q",100,1
"27","pam_kluster_mean",2,0.0347500000020955,20,-18,4000000,100,0.2,"tB9ub6Q",100,1
"28","ap_kluster_mean",6,0.025899999999674,20,-14,4000000,100,0.2,"tB9ub6Q",100,1
"29","BIC_kluster_frq",4,0.877599999997765,20,-16,4000000,100,0.2,"tB9ub6Q",100,1
"30","cal_kluster_frq",15,1.20974000000162,20,-5,4000000,100,0.2,"tB9ub6Q",100,1
"31","pam_kluster_frq",2,0.0347500000020955,20,-18,4000000,100,0.2,"tB9ub6Q",100,1
"32","ap_kluster_frq",6,0.025899999999674,20,-14,4000000,100,0.2,"tB9ub6Q",100,1
"33","BIC_kluster_mean",12,5.57837000000058,20,-8,4000000,500,0.2,"tB9ub6Q",100,1
"34","cal_kluster_mean",15,4.1637699999928,20,-5,4000000,500,0.2,"tB9ub6Q",100,1
"35","pam_kluster_mean",2,1.09131999999983,20,-18,4000000,500,0.2,"tB9ub6Q",100,1
"36","ap_kluster_mean",19,0.574210000002058,20,-1,4000000,500,0.2,"tB9ub6Q",100,1
"37","BIC_kluster_frq",15,5.57837000000058,20,-5,4000000,500,0.2,"tB9ub6Q",100,1
"38","cal_kluster_frq",15,4.1637699999928,20,-5,4000000,500,0.2,"tB9ub6Q",100,1
"39","pam_kluster_frq",2,1.09131999999983,20,-18,4000000,500,0.2,"tB9ub6Q",100,1
"40","ap_kluster_frq",20,0.574210000002058,20,0,4000000,500,0.2,"tB9ub6Q",100,1
"41","BIC_kluster_mean",14,13.8316299999959,20,-6,4000000,1000,0.2,"tB9ub6Q",100,1
"42","cal_kluster_mean",15,8.49544000000111,20,-5,4000000,1000,0.2,"tB9ub6Q",100,1
"43","pam_kluster_mean",2,5.19380999999819,20,-18,4000000,1000,0.2,"tB9ub6Q",100,1
"44","ap_kluster_mean",20,2.89440999999759,20,0,4000000,1000,0.2,"tB9ub6Q",100,1
"45","BIC_kluster_frq",15,13.8316299999959,20,-5,4000000,1000,0.2,"tB9ub6Q",100,1
"46","cal_kluster_frq",15,8.49544000000111,20,-5,4000000,1000,0.2,"tB9ub6Q",100,1
"47","pam_kluster_frq",2,5.19380999999819,20,-18,4000000,1000,0.2,"tB9ub6Q",100,1
"48","ap_kluster_frq",20,2.89440999999759,20,0,4000000,1000,0.2,"tB9ub6Q",100,1
"49","BIC_kluster_mean",4,0.814709999999031,20,-16,4000000,100,0.3,"XMTjpTG",100,1
"50","cal_kluster_mean",15,1.24366000000853,20,-5,4000000,100,0.3,"XMTjpTG",100,1
"51","pam_kluster_mean",2,0.035379999994766,20,-18,4000000,100,0.3,"XMTjpTG",100,1
"52","ap_kluster_mean",6,0.0239299999957439,20,-14,4000000,100,0.3,"XMTjpTG",100,1
"53","BIC_kluster_frq",3,0.814709999999031,20,-17,4000000,100,0.3,"XMTjpTG",100,1
"54","cal_kluster_frq",15,1.24366000000853,20,-5,4000000,100,0.3,"XMTjpTG",100,1
"55","pam_kluster_frq",2,0.035379999994766,20,-18,4000000,100,0.3,"XMTjpTG",100,1
"56","ap_kluster_frq",6,0.0239299999957439,20,-14,4000000,100,0.3,"XMTjpTG",100,1
"57","BIC_kluster_mean",14,3.66513999999384,20,-6,4000000,500,0.3,"XMTjpTG",100,1
"58","cal_kluster_mean",15,4.22142000000342,20,-5,4000000,500,0.3,"XMTjpTG",100,1
"59","pam_kluster_mean",2,0.983549999996321,20,-18,4000000,500,0.3,"XMTjpTG",100,1
"60","ap_kluster_mean",20,0.559979999994393,20,0,4000000,500,0.3,"XMTjpTG",100,1
"61","BIC_kluster_frq",15,3.66513999999384,20,-5,4000000,500,0.3,"XMTjpTG",100,1
"62","cal_kluster_frq",15,4.22142000000342,20,-5,4000000,500,0.3,"XMTjpTG",100,1
"63","pam_kluster_frq",2,0.983549999996321,20,-18,4000000,500,0.3,"XMTjpTG",100,1
"64","ap_kluster_frq",20,0.559979999994393,20,0,4000000,500,0.3,"XMTjpTG",100,1
"65","BIC_kluster_mean",15,8.80954999999492,20,-5,4000000,1000,0.3,"XMTjpTG",100,1
"66","cal_kluster_mean",15,8.39232000000193,20,-5,4000000,1000,0.3,"XMTjpTG",100,1
"67","pam_kluster_mean",2,4.43241999999504,20,-18,4000000,1000,0.3,"XMTjpTG",100,1
"68","ap_kluster_mean",20,2.98314999999828,20,0,4000000,1000,0.3,"XMTjpTG",100,1
"69","BIC_kluster_frq",15,8.80954999999492,20,-5,4000000,1000,0.3,"XMTjpTG",100,1
"70","cal_kluster_frq",15,8.39232000000193,20,-5,4000000,1000,0.3,"XMTjpTG",100,1
"71","pam_kluster_frq",2,4.43241999999504,20,-18,4000000,1000,0.3,"XMTjpTG",100,1
"72","ap_kluster_frq",20,2.98314999999828,20,0,4000000,1000,0.3,"XMTjpTG",100,1
"73","BIC_kluster_mean",4,0.760769999994664,20,-16,4000000,100,0.4,"iDyKgOB",100,1
