"","method","k_num","ptime","k_orig","e","n","sepVal","run","sample","sampling_iteration","simulation_iteration"
"1","BIC.best",15,13.4850000000151,16,-1,1858,0.1,"1N4R0v4",100,100,10
"2","pamk.best",2,29.2619999999879,16,-14,1858,0.1,"1N4R0v4",100,100,10
"3","calinski.best",13,8.13000000000466,16,-3,1858,0.1,"1N4R0v4",100,100,10
"4","apclus.best",18,44.5050000000047,16,2,1858,0.1,"1N4R0v4",100,100,10
"5","BIC_kluster_mean",4,0.00590480000000971,16,-12,1858,0.1,"1N4R0v4",100,100,10
"6","cal_kluster_mean",15,0.0106908000000025,16,-1,1858,0.1,"1N4R0v4",100,100,10
"7","pam_kluster_mean",2,0.000279500000012922,16,-14,1858,0.1,"1N4R0v4",100,100,10
"8","ap_kluster_mean",8,0.000260600000002887,16,-8,1858,0.1,"1N4R0v4",100,100,10
"9","BIC_kluster_frq",3,0.00590480000000971,16,-13,1858,0.1,"1N4R0v4",100,100,10
"10","cal_kluster_frq",15,0.0106908000000025,16,-1,1858,0.1,"1N4R0v4",100,100,10
"11","pam_kluster_frq",2,0.000279500000012922,16,-14,1858,0.1,"1N4R0v4",100,100,10
"12","ap_kluster_frq",7,0.000260600000002887,16,-9,1858,0.1,"1N4R0v4",100,100,10
"13","BIC.best",15,19.4789999999921,16,-1,1859,0.2,"o9sJhmU",100,100,10
"14","pamk.best",2,24.2829999999958,16,-14,1859,0.2,"o9sJhmU",100,100,10
"15","calinski.best",13,5.99499999999534,16,-3,1859,0.2,"o9sJhmU",100,100,10
"16","apclus.best",17,47.0410000000265,16,1,1859,0.2,"o9sJhmU",100,100,10
"17","BIC_kluster_mean",4,0.00504010000000126,16,-12,1859,0.2,"o9sJhmU",100,100,10
"18","cal_kluster_mean",15,0.00922999999999884,16,-1,1859,0.2,"o9sJhmU",100,100,10
"19","pam_kluster_mean",2,0.000288400000002002,16,-14,1859,0.2,"o9sJhmU",100,100,10
"20","ap_kluster_mean",7,0.000280900000003749,16,-9,1859,0.2,"o9sJhmU",100,100,10
"21","BIC_kluster_frq",4,0.00504010000000126,16,-12,1859,0.2,"o9sJhmU",100,100,10
"22","cal_kluster_frq",15,0.00922999999999884,16,-1,1859,0.2,"o9sJhmU",100,100,10
"23","pam_kluster_frq",2,0.000288400000002002,16,-14,1859,0.2,"o9sJhmU",100,100,10
"24","ap_kluster_frq",7,0.000280900000003749,16,-9,1859,0.2,"o9sJhmU",100,100,10
"25","BIC.best",15,16.4120000000112,16,-1,2088,0.3,"gEB7P1h",100,100,10
"26","pamk.best",2,22.6199999999953,16,-14,2088,0.3,"gEB7P1h",100,100,10
"27","calinski.best",13,6.15099999998347,16,-3,2088,0.3,"gEB7P1h",100,100,10
"28","apclus.best",16,39.4180000000051,16,0,2088,0.3,"gEB7P1h",100,100,10
"29","BIC_kluster_mean",7,0.0045478999999963,16,-9,2088,0.3,"gEB7P1h",100,100,10
"30","cal_kluster_mean",15,0.00902030000000086,16,-1,2088,0.3,"gEB7P1h",100,100,10
"31","pam_kluster_mean",4,0.000263600000008591,16,-12,2088,0.3,"gEB7P1h",100,100,10
