"","method","k_num","ptime","k_orig","e","n","sepVal","run","sample","sampling_iteration","simulation_iteration"
"1","BIC.best",15,49.4519999999902,24,-9,3496,0.1,"K1GzWTT",100,100,10
"2","pamk.best",2,73.0760000000009,24,-22,3496,0.1,"K1GzWTT",100,100,10
"3","calinski.best",5,14.179999999993,24,-19,3496,0.1,"K1GzWTT",100,100,10
"4","apclus.best",24,37.0720000000438,24,0,3496,0.1,"K1GzWTT",100,100,10
"5","BIC_kluster_mean",4,0.00745920000001206,24,-20,3496,0.1,"K1GzWTT",100,100,10
"6","cal_kluster_mean",15,0.00927490000000689,24,-9,3496,0.1,"K1GzWTT",100,100,10
"7","pam_kluster_mean",2,0.000268900000001304,24,-22,3496,0.1,"K1GzWTT",100,100,10
"8","ap_kluster_mean",6,0.0002605000000156,24,-18,3496,0.1,"K1GzWTT",100,100,10
"9","BIC_kluster_frq",4,0.00745920000001206,24,-20,3496,0.1,"K1GzWTT",100,100,10
"10","cal_kluster_frq",15,0.00927490000000689,24,-9,3496,0.1,"K1GzWTT",100,100,10
"11","pam_kluster_frq",2,0.000268900000001304,24,-22,3496,0.1,"K1GzWTT",100,100,10
"12","ap_kluster_frq",6,0.0002605000000156,24,-18,3496,0.1,"K1GzWTT",100,100,10
"13","BIC.best",15,36.4170000000158,24,-9,2908,0.2,"44D63TR",100,100,10
"14","pamk.best",2,58.3459999999614,24,-22,2908,0.2,"44D63TR",100,100,10
"15","calinski.best",6,10.2719999999972,24,-18,2908,0.2,"44D63TR",100,100,10
"16","apclus.best",24,26.5590000000084,24,0,2908,0.2,"44D63TR",100,100,10
"17","BIC_kluster_mean",4,0.00704669999998878,24,-20,2908,0.2,"44D63TR",100,100,10
"18","cal_kluster_mean",15,0.00904699999998556,24,-9,2908,0.2,"44D63TR",100,100,10
"19","pam_kluster_mean",2,0.000259199999988778,24,-22,2908,0.2,"44D63TR",100,100,10
"20","ap_kluster_mean",6,0.000250199999992037,24,-18,2908,0.2,"44D63TR",100,100,10
"21","BIC_kluster_frq",4,0.00704669999998878,24,-20,2908,0.2,"44D63TR",100,100,10
"22","cal_kluster_frq",15,0.00904699999998556,24,-9,2908,0.2,"44D63TR",100,100,10
"23","pam_kluster_frq",2,0.000259199999988778,24,-22,2908,0.2,"44D63TR",100,100,10
"24","ap_kluster_frq",6,0.000250199999992037,24,-18,2908,0.2,"44D63TR",100,100,10
"25","BIC.best",14,49.76800000004,24,-10,3421,0.3,"AHoEg3b",100,100,10
"26","pamk.best",2,51.0009999999893,24,-22,3421,0.3,"AHoEg3b",100,100,10
"27","calinski.best",13,11.6439999999711,24,-11,3421,0.3,"AHoEg3b",100,100,10
"28","apclus.best",24,45.0420000000158,24,0,3421,0.3,"AHoEg3b",100,100,10
"29","BIC_kluster_mean",4,0.00685090000001364,24,-20,3421,0.3,"AHoEg3b",100,100,10
"30","cal_kluster_mean",15,0.00978409999999567,24,-9,3421,0.3,"AHoEg3b",100,100,10
"31","pam_kluster_mean",2,0.000266800000006333,24,-22,3421,0.3,"AHoEg3b",100,100,10
"32","ap_kluster_mean",6,0.000242099999997299,24,-18,3421,0.3,"AHoEg3b",100,100,10
"33","BIC_kluster_frq",3,0.00685090000001364,24,-21,3421,0.3,"AHoEg3b",100,100,10
"34","cal_kluster_frq",15,0.00978409999999567,24,-9,3421,0.3,"AHoEg3b",100,100,10
"35","pam_kluster_frq",2,0.000266800000006333,24,-22,3421,0.3,"AHoEg3b",100,100,10
"36","ap_kluster_frq",6,0.000242099999997299,24,-18,3421,0.3,"AHoEg3b",100,100,10
"37","BIC.best",14,32.4109999999637,24,-10,3195,0.4,"PpiC2c8",100,100,10
"38","pamk.best",2,39.5510000000359,24,-22,3195,0.4,"PpiC2c8",100,100,10
"39","calinski.best",13,8.17299999995157,24,-11,3195,0.4,"PpiC2c8",100,100,10
"40","apclus.best",24,39.6100000000442,24,0,3195,0.4,"PpiC2c8",100,100,10
"41","BIC_kluster_mean",5,0.00592949999999255,24,-19,3195,0.4,"PpiC2c8",100,100,10
"42","cal_kluster_mean",15,0.00891140000000014,24,-9,3195,0.4,"PpiC2c8",100,100,10
"43","pam_kluster_mean",2,0.000242800000007264,24,-22,3195,0.4,"PpiC2c8",100,100,10
"44","ap_kluster_mean",6,0.000235899999993853,24,-18,3195,0.4,"PpiC2c8",100,100,10
"45","BIC_kluster_frq",4,0.00592949999999255,24,-20,3195,0.4,"PpiC2c8",100,100,10
"46","cal_kluster_frq",15,0.00891140000000014,24,-9,3195,0.4,"PpiC2c8",100,100,10
"47","pam_kluster_frq",2,0.000242800000007264,24,-22,3195,0.4,"PpiC2c8",100,100,10
"48","ap_kluster_frq",6,0.000235899999993853,24,-18,3195,0.4,"PpiC2c8",100,100,10
"49","BIC.best",15,22.9330000000191,24,-9,2706,0.5,"HlIW1u4",100,100,10
"50","pamk.best",2,33.0590000000084,24,-22,2706,0.5,"HlIW1u4",100,100,10
"51","calinski.best",13,7.25,24,-11,2706,0.5,"HlIW1u4",100,100,10
