"","method","k_num","ptime","k_orig","e","n","sepVal","run","sample","sampling_iteration","simulation_iteration"
"1","BIC.best",14,32.3819999999832,21,-7,2654,0.1,"wvM6LWC",100,100,10
"2","pamk.best",2,36.7410000000091,21,-19,2654,0.1,"wvM6LWC",100,100,10
"3","calinski.best",13,12.3709999999846,21,-8,2654,0.1,"wvM6LWC",100,100,10
"4","apclus.best",22,24.3289999999979,21,1,2654,0.1,"wvM6LWC",100,100,10
"5","BIC_kluster_mean",4,0.00696119999999355,21,-17,2654,0.1,"wvM6LWC",100,100,10
"6","cal_kluster_mean",15,0.00972610000000277,21,-6,2654,0.1,"wvM6LWC",100,100,10
"7","pam_kluster_mean",2,0.000249400000006426,21,-19,2654,0.1,"wvM6LWC",100,100,10
"8","ap_kluster_mean",7,0.000237200000000303,21,-14,2654,0.1,"wvM6LWC",100,100,10
"9","BIC_kluster_frq",3,0.00696119999999355,21,-18,2654,0.1,"wvM6LWC",100,100,10
"10","cal_kluster_frq",15,0.00972610000000277,21,-6,2654,0.1,"wvM6LWC",100,100,10
"11","pam_kluster_frq",2,0.000249400000006426,21,-19,2654,0.1,"wvM6LWC",100,100,10
"12","ap_kluster_frq",7,0.000237200000000303,21,-14,2654,0.1,"wvM6LWC",100,100,10
"13","BIC.best",15,24.7090000000026,21,-6,2590,0.2,"F4r3MYe",100,100,10
"14","pamk.best",2,51.0500000000175,21,-19,2590,0.2,"F4r3MYe",100,100,10
"15","calinski.best",13,9.55099999997765,21,-8,2590,0.2,"F4r3MYe",100,100,10
"16","apclus.best",21,23.1050000000105,21,0,2590,0.2,"F4r3MYe",100,100,10
"17","BIC_kluster_mean",4,0.00625639999999257,21,-17,2590,0.2,"F4r3MYe",100,100,10
"18","cal_kluster_mean",15,0.00953610000000917,21,-6,2590,0.2,"F4r3MYe",100,100,10
"19","pam_kluster_mean",2,0.000262300000007963,21,-19,2590,0.2,"F4r3MYe",100,100,10
"20","ap_kluster_mean",6,0.000235300000017742,21,-15,2590,0.2,"F4r3MYe",100,100,10
"21","BIC_kluster_frq",3,0.00625639999999257,21,-18,2590,0.2,"F4r3MYe",100,100,10
"22","cal_kluster_frq",15,0.00953610000000917,21,-6,2590,0.2,"F4r3MYe",100,100,10
"23","pam_kluster_frq",2,0.000262300000007963,21,-19,2590,0.2,"F4r3MYe",100,100,10
"24","ap_kluster_frq",6,0.000235300000017742,21,-15,2590,0.2,"F4r3MYe",100,100,10
"25","BIC.best",14,27.9539999999688,21,-7,2554,0.3,"0BAhUzx",100,100,10
"26","pamk.best",3,48.6240000000107,21,-18,2554,0.3,"0BAhUzx",100,100,10
"27","calinski.best",13,7.64399999997113,21,-8,2554,0.3,"0BAhUzx",100,100,10
"28","apclus.best",21,25.1380000000354,21,0,2554,0.3,"0BAhUzx",100,100,10
"29","BIC_kluster_mean",4,0.0061112000000081,21,-17,2554,0.3,"0BAhUzx",100,100,10
"30","cal_kluster_mean",15,0.00903490000001038,21,-6,2554,0.3,"0BAhUzx",100,100,10
"31","pam_kluster_mean",3,0.000253199999994831,21,-18,2554,0.3,"0BAhUzx",100,100,10
"32","ap_kluster_mean",6,0.000228099999995902,21,-15,2554,0.3,"0BAhUzx",100,100,10
"33","BIC_kluster_frq",3,0.0061112000000081,21,-18,2554,0.3,"0BAhUzx",100,100,10
"34","cal_kluster_frq",15,0.00903490000001038,21,-6,2554,0.3,"0BAhUzx",100,100,10
"35","pam_kluster_frq",3,0.000253199999994831,21,-18,2554,0.3,"0BAhUzx",100,100,10
"36","ap_kluster_frq",6,0.000228099999995902,21,-15,2554,0.3,"0BAhUzx",100,100,10
"37","BIC.best",15,27.0370000000112,21,-6,2742,0.4,"75cqsJP",100,100,10
"38","pamk.best",2,48.2919999999576,21,-19,2742,0.4,"75cqsJP",100,100,10
"39","calinski.best",13,6.44500000000698,21,-8,2742,0.4,"75cqsJP",100,100,10
"40","apclus.best",21,25.2860000000219,21,0,2742,0.4,"75cqsJP",100,100,10
"41","BIC_kluster_mean",6,0.00545210000000079,21,-15,2742,0.4,"75cqsJP",100,100,10
"42","cal_kluster_mean",15,0.00886089999999385,21,-6,2742,0.4,"75cqsJP",100,100,10
"43","pam_kluster_mean",2,0.000260399999999208,21,-19,2742,0.4,"75cqsJP",100,100,10
"44","ap_kluster_mean",5,0.000236799999995856,21,-16,2742,0.4,"75cqsJP",100,100,10
"45","BIC_kluster_frq",4,0.00545210000000079,21,-17,2742,0.4,"75cqsJP",100,100,10
"46","cal_kluster_frq",15,0.00886089999999385,21,-6,2742,0.4,"75cqsJP",100,100,10
"47","pam_kluster_frq",2,0.000260399999999208,21,-19,2742,0.4,"75cqsJP",100,100,10
"48","ap_kluster_frq",5,0.000236799999995856,21,-16,2742,0.4,"75cqsJP",100,100,10
"49","BIC.best",15,23.4459999999963,21,-6,2930,0.5,"q7Ie4d0",100,100,10
"50","pamk.best",2,47.9539999999688,21,-19,2930,0.5,"q7Ie4d0",100,100,10
"51","calinski.best",13,6.12400000001071,21,-8,2930,0.5,"q7Ie4d0",100,100,10
"52","apclus.best",21,28.2520000000368,21,0,2930,0.5,"q7Ie4d0",100,100,10
"53","BIC_kluster_mean",6,0.00538910000000033,21,-15,2930,0.5,"q7Ie4d0",100,100,10
"54","cal_kluster_mean",15,0.00853279999999213,21,-6,2930,0.5,"q7Ie4d0",100,100,10
"55","pam_kluster_mean",2,0.000270699999999488,21,-19,2930,0.5,"q7Ie4d0",100,100,10
"56","ap_kluster_mean",6,0.000258700000005774,21,-15,2930,0.5,"q7Ie4d0",100,100,10
"57","BIC_kluster_frq",4,0.00538910000000033,21,-17,2930,0.5,"q7Ie4d0",100,100,10
"58","cal_kluster_frq",15,0.00853279999999213,21,-6,2930,0.5,"q7Ie4d0",100,100,10
"59","pam_kluster_frq",2,0.000270699999999488,21,-19,2930,0.5,"q7Ie4d0",100,100,10
"60","ap_kluster_frq",6,0.000258700000005774,21,-15,2930,0.5,"q7Ie4d0",100,100,10
"61","BIC.best",15,12.9139999999898,21,-6,2515,0.6,"Udc7dqH",100,100,10
"62","pamk.best",2,34.4760000000242,21,-19,2515,0.6,"Udc7dqH",100,100,10
"63","calinski.best",13,5.40700000000652,21,-8,2515,0.6,"Udc7dqH",100,100,10
"64","apclus.best",21,29.810999999987,21,0,2515,0.6,"Udc7dqH",100,100,10
"65","BIC_kluster_mean",7,0.00479480000001495,21,-14,2515,0.6,"Udc7dqH",100,100,10
"66","cal_kluster_mean",15,0.00865599999999395,21,-6,2515,0.6,"Udc7dqH",100,100,10
"67","pam_kluster_mean",4,0.000272000000003027,21,-17,2515,0.6,"Udc7dqH",100,100,10
"68","ap_kluster_mean",6,0.0002456000000122,21,-15,2515,0.6,"Udc7dqH",100,100,10
"69","BIC_kluster_frq",3,0.00479480000001495,21,-18,2515,0.6,"Udc7dqH",100,100,10
"70","cal_kluster_frq",15,0.00865599999999395,21,-6,2515,0.6,"Udc7dqH",100,100,10
"71","pam_kluster_frq",2,0.000272000000003027,21,-19,2515,0.6,"Udc7dqH",100,100,10
"72","ap_kluster_frq",6,0.0002456000000122,21,-15,2515,0.6,"Udc7dqH",100,100,10
"73","BIC.best",15,19.5359999999637,21,-6,2688,0.7,"9hlGOkv",100,100,10
"74","pamk.best",2,45.0750000000116,21,-19,2688,0.7,"9hlGOkv",100,100,10
"75","calinski.best",13,5.06699999998091,21,-8,2688,0.7,"9hlGOkv",100,100,10
"76","apclus.best",21,22.0480000000098,21,0,2688,0.7,"9hlGOkv",100,100,10
