"","method","k_num","ptime","k_orig","e","n","sepVal","run","sample","sampling_iteration","simulation_iteration"
"1","BIC.best",12,43.0840000000026,26,-14,3211,0.1,"YP842e2",100,100,10
"2","pamk.best",2,93.3600000000006,26,-24,3211,0.1,"YP842e2",100,100,10
"3","calinski.best",4,14.2860000000001,26,-22,3211,0.1,"YP842e2",100,100,10
"4","apclus.best",26,52.762999999999,26,0,3211,0.1,"YP842e2",100,100,10
"5","BIC_kluster_mean",4,0.00754959999999919,26,-22,3211,0.1,"YP842e2",100,100,10
"6","cal_kluster_mean",15,0.00993440000000191,26,-11,3211,0.1,"YP842e2",100,100,10
"7","pam_kluster_mean",2,0.000257300000001123,26,-24,3211,0.1,"YP842e2",100,100,10
"8","ap_kluster_mean",6,0.000270199999999022,26,-20,3211,0.1,"YP842e2",100,100,10
"9","BIC_kluster_frq",4,0.00754959999999919,26,-22,3211,0.1,"YP842e2",100,100,10
"10","cal_kluster_frq",15,0.00993440000000191,26,-11,3211,0.1,"YP842e2",100,100,10
"11","pam_kluster_frq",2,0.000257300000001123,26,-24,3211,0.1,"YP842e2",100,100,10
"12","ap_kluster_frq",6,0.000270199999999022,26,-20,3211,0.1,"YP842e2",100,100,10
"13","BIC.best",14,55.1659999999974,26,-12,3633,0.2,"APFwzPS",100,100,10
"14","pamk.best",2,116.506000000001,26,-24,3633,0.2,"APFwzPS",100,100,10
"15","calinski.best",6,15.8249999999971,26,-20,3633,0.2,"APFwzPS",100,100,10
"16","apclus.best",26,43.7220000000016,26,0,3633,0.2,"APFwzPS",100,100,10
"17","BIC_kluster_mean",5,0.00711279999999824,26,-21,3633,0.2,"APFwzPS",100,100,10
"18","cal_kluster_mean",15,0.010204700000002,26,-11,3633,0.2,"APFwzPS",100,100,10
"19","pam_kluster_mean",2,0.000262500000000728,26,-24,3633,0.2,"APFwzPS",100,100,10
"20","ap_kluster_mean",6,0.000229500000001281,26,-20,3633,0.2,"APFwzPS",100,100,10
"21","BIC_kluster_frq",4,0.00711279999999824,26,-22,3633,0.2,"APFwzPS",100,100,10
"22","cal_kluster_frq",15,0.010204700000002,26,-11,3633,0.2,"APFwzPS",100,100,10
"23","pam_kluster_frq",2,0.000262500000000728,26,-24,3633,0.2,"APFwzPS",100,100,10
"24","ap_kluster_frq",6,0.000229500000001281,26,-20,3633,0.2,"APFwzPS",100,100,10
"25","BIC.best",15,42.8820000000051,26,-11,3264,0.3,"Iqyvf14",100,100,10
"26","pamk.best",2,79.4919999999984,26,-24,3264,0.3,"Iqyvf14",100,100,10
"27","calinski.best",13,9.84000000000378,26,-13,3264,0.3,"Iqyvf14",100,100,10
"28","apclus.best",26,61.4979999999996,26,0,3264,0.3,"Iqyvf14",100,100,10
"29","BIC_kluster_mean",5,0.00639780000000028,26,-21,3264,0.3,"Iqyvf14",100,100,10
"30","cal_kluster_mean",15,0.00900789999999761,26,-11,3264,0.3,"Iqyvf14",100,100,10
"31","pam_kluster_mean",2,0.000264499999998952,26,-24,3264,0.3,"Iqyvf14",100,100,10
"32","ap_kluster_mean",6,0.000237299999998504,26,-20,3264,0.3,"Iqyvf14",100,100,10
"33","BIC_kluster_frq",4,0.00639780000000028,26,-22,3264,0.3,"Iqyvf14",100,100,10
"34","cal_kluster_frq",15,0.00900789999999761,26,-11,3264,0.3,"Iqyvf14",100,100,10
"35","pam_kluster_frq",2,0.000264499999998952,26,-24,3264,0.3,"Iqyvf14",100,100,10
"36","ap_kluster_frq",6,0.000237299999998504,26,-20,3264,0.3,"Iqyvf14",100,100,10
"37","BIC.best",13,37.0339999999997,26,-13,3283,0.4,"S3QSCVC",100,100,10
"38","pamk.best",2,81.2020000000048,26,-24,3283,0.4,"S3QSCVC",100,100,10
"39","calinski.best",13,8.19199999999546,26,-13,3283,0.4,"S3QSCVC",100,100,10
"40","apclus.best",26,64.7050000000017,26,0,3283,0.4,"S3QSCVC",100,100,10
"41","BIC_kluster_mean",5,0.00648799999999901,26,-21,3283,0.4,"S3QSCVC",100,100,10
"42","cal_kluster_mean",15,0.00905519999999888,26,-11,3283,0.4,"S3QSCVC",100,100,10
"43","pam_kluster_mean",2,0.000235300000000279,26,-24,3283,0.4,"S3QSCVC",100,100,10
"44","ap_kluster_mean",6,0.000263400000001275,26,-20,3283,0.4,"S3QSCVC",100,100,10
"45","BIC_kluster_frq",4,0.00648799999999901,26,-22,3283,0.4,"S3QSCVC",100,100,10
"46","cal_kluster_frq",15,0.00905519999999888,26,-11,3283,0.4,"S3QSCVC",100,100,10
"47","pam_kluster_frq",2,0.000235300000000279,26,-24,3283,0.4,"S3QSCVC",100,100,10
"48","ap_kluster_frq",6,0.000263400000001275,26,-20,3283,0.4,"S3QSCVC",100,100,10
"49","BIC.best",15,30.7589999999982,26,-11,3146,0.5,"NTjuUhc",100,100,10
"50","pamk.best",2,94.8559999999998,26,-24,3146,0.5,"NTjuUhc",100,100,10
"51","calinski.best",13,8.38300000000163,26,-13,3146,0.5,"NTjuUhc",100,100,10
"52","apclus.best",26,48.0560000000041,26,0,3146,0.5,"NTjuUhc",100,100,10
"53","BIC_kluster_mean",5,0.00630199999999895,26,-21,3146,0.5,"NTjuUhc",100,100,10
"54","cal_kluster_mean",15,0.00976970000000292,26,-11,3146,0.5,"NTjuUhc",100,100,10
"55","pam_kluster_mean",2,0.000266199999999662,26,-24,3146,0.5,"NTjuUhc",100,100,10
"56","ap_kluster_mean",6,0.00024519999999975,26,-20,3146,0.5,"NTjuUhc",100,100,10
"57","BIC_kluster_frq",4,0.00630199999999895,26,-22,3146,0.5,"NTjuUhc",100,100,10
"58","cal_kluster_frq",15,0.00976970000000292,26,-11,3146,0.5,"NTjuUhc",100,100,10
"59","pam_kluster_frq",2,0.000266199999999662,26,-24,3146,0.5,"NTjuUhc",100,100,10
"60","ap_kluster_frq",6,0.00024519999999975,26,-20,3146,0.5,"NTjuUhc",100,100,10
"61","BIC.best",15,34.851999999999,26,-11,3438,0.6,"4J7Xmlv",100,100,10
"62","pamk.best",2,105.618999999999,26,-24,3438,0.6,"4J7Xmlv",100,100,10
"63","calinski.best",13,7.79200000000128,26,-13,3438,0.6,"4J7Xmlv",100,100,10
"64","apclus.best",26,69.5,26,0,3438,0.6,"4J7Xmlv",100,100,10
"65","BIC_kluster_mean",6,0.00605359999999928,26,-20,3438,0.6,"4J7Xmlv",100,100,10
"66","cal_kluster_mean",15,0.00900340000000142,26,-11,3438,0.6,"4J7Xmlv",100,100,10
"67","pam_kluster_mean",2,0.000258799999998155,26,-24,3438,0.6,"4J7Xmlv",100,100,10
"68","ap_kluster_mean",6,0.000244799999998941,26,-20,3438,0.6,"4J7Xmlv",100,100,10
"69","BIC_kluster_frq",4,0.00605359999999928,26,-22,3438,0.6,"4J7Xmlv",100,100,10
"70","cal_kluster_frq",15,0.00900340000000142,26,-11,3438,0.6,"4J7Xmlv",100,100,10
"71","pam_kluster_frq",2,0.000258799999998155,26,-24,3438,0.6,"4J7Xmlv",100,100,10
"72","ap_kluster_frq",6,0.000244799999998941,26,-20,3438,0.6,"4J7Xmlv",100,100,10
"73","BIC.best",15,26.9590000000026,26,-11,3031,0.7,"2hwPnZu",100,100,10
"74","pamk.best",2,60.5829999999987,26,-24,3031,0.7,"2hwPnZu",100,100,10
"75","calinski.best",13,5.52199999999721,26,-13,3031,0.7,"2hwPnZu",100,100,10
"76","apclus.best",26,49.122000000003,26,0,3031,0.7,"2hwPnZu",100,100,10
"77","BIC_kluster_mean",6,0.00586519999999946,26,-20,3031,0.7,"2hwPnZu",100,100,10
"78","cal_kluster_mean",15,0.00842719999999754,26,-11,3031,0.7,"2hwPnZu",100,100,10
"79","pam_kluster_mean",2,0.000262799999996787,26,-24,3031,0.7,"2hwPnZu",100,100,10
"80","ap_kluster_mean",6,0.00027039999999979,26,-20,3031,0.7,"2hwPnZu",100,100,10
"81","BIC_kluster_frq",4,0.00586519999999946,26,-22,3031,0.7,"2hwPnZu",100,100,10
"82","cal_kluster_frq",15,0.00842719999999754,26,-11,3031,0.7,"2hwPnZu",100,100,10
"83","pam_kluster_frq",2,0.000262799999996787,26,-24,3031,0.7,"2hwPnZu",100,100,10
"84","ap_kluster_frq",6,0.00027039999999979,26,-20,3031,0.7,"2hwPnZu",100,100,10
