"","method","k_num","ptime","k_orig","e","n","sepVal","run","sample","sampling_iteration","simulation_iteration"
"1","BIC.best",14,29.0260000000126,22,-8,2645,0.1,"sbmgX9Y",100,100,10
"2","pamk.best",2,47.3389999999781,22,-20,2645,0.1,"sbmgX9Y",100,100,10
"3","calinski.best",13,11.4230000000098,22,-9,2645,0.1,"sbmgX9Y",100,100,10
"4","apclus.best",22,28.695000000007,22,0,2645,0.1,"sbmgX9Y",100,100,10
"5","BIC_kluster_mean",4,0.006637999999983,22,-18,2645,0.1,"sbmgX9Y",100,100,10
"6","cal_kluster_mean",15,0.00999589999999153,22,-7,2645,0.1,"sbmgX9Y",100,100,10
"7","pam_kluster_mean",2,0.000266200000001118,22,-20,2645,0.1,"sbmgX9Y",100,100,10
"8","ap_kluster_mean",6,0.000243400000006659,22,-16,2645,0.1,"sbmgX9Y",100,100,10
"9","BIC_kluster_frq",3,0.006637999999983,22,-19,2645,0.1,"sbmgX9Y",100,100,10
"10","cal_kluster_frq",15,0.00999589999999153,22,-7,2645,0.1,"sbmgX9Y",100,100,10
"11","pam_kluster_frq",2,0.000266200000001118,22,-20,2645,0.1,"sbmgX9Y",100,100,10
"12","ap_kluster_frq",6,0.000243400000006659,22,-16,2645,0.1,"sbmgX9Y",100,100,10
"13","BIC.best",15,33.3740000000107,22,-7,3104,0.2,"b1v3sC2",100,100,10
"14","pamk.best",2,52.9489999999641,22,-20,3104,0.2,"b1v3sC2",100,100,10
"15","calinski.best",13,13.4590000000317,22,-9,3104,0.2,"b1v3sC2",100,100,10
"16","apclus.best",23,27.3759999999893,22,1,3104,0.2,"b1v3sC2",100,100,10
"17","BIC_kluster_mean",4,0.00666519999998854,22,-18,3104,0.2,"b1v3sC2",100,100,10
"18","cal_kluster_mean",15,0.0101416000000085,22,-7,3104,0.2,"b1v3sC2",100,100,10
"19","pam_kluster_mean",2,0.000260099999996601,22,-20,3104,0.2,"b1v3sC2",100,100,10
"20","ap_kluster_mean",6,0.000226899999997113,22,-16,3104,0.2,"b1v3sC2",100,100,10
