"","method","k_num","ptime","k_orig","e","n","sepVal","run","sample","sampling_iteration","simulation_iteration"
"1","BIC.best",5,6.43099999999686,5,0,580,0.1,"GUIveAm",100,100,10
"2","pamk.best",5,1.59399999999732,5,0,580,0.1,"GUIveAm",100,100,10
"3","calinski.best",3,2.26200000000244,5,-2,580,0.1,"GUIveAm",100,100,10
"4","apclus.best",15,2.10499999999593,5,10,580,0.1,"GUIveAm",100,100,10
"5","BIC_kluster_mean",5,0.0052336999999985,5,0,580,0.1,"GUIveAm",100,100,10
"6","cal_kluster_mean",10,0.0102733000000007,5,5,580,0.1,"GUIveAm",100,100,10
"7","pam_kluster_mean",5,0.000273600000003353,5,0,580,0.1,"GUIveAm",100,100,10
"8","ap_kluster_mean",6,0.000257299999997485,5,1,580,0.1,"GUIveAm",100,100,10
"9","BIC_kluster_frq",5,0.0052336999999985,5,0,580,0.1,"GUIveAm",100,100,10
"10","cal_kluster_frq",5,0.0102733000000007,5,0,580,0.1,"GUIveAm",100,100,10
"11","pam_kluster_frq",5,0.000273600000003353,5,0,580,0.1,"GUIveAm",100,100,10
"12","ap_kluster_frq",6,0.000257299999997485,5,1,580,0.1,"GUIveAm",100,100,10
"13","BIC.best",5,5.93799999999464,5,0,696,0.2,"Dmz4Jt0",100,100,10
"14","pamk.best",5,2.10000000000582,5,0,696,0.2,"Dmz4Jt0",100,100,10
"15","calinski.best",3,2.4149999999936,5,-2,696,0.2,"Dmz4Jt0",100,100,10
"16","apclus.best",13,4.43899999999849,5,8,696,0.2,"Dmz4Jt0",100,100,10
"17","BIC_kluster_mean",5,0.00429680000000226,5,0,696,0.2,"Dmz4Jt0",100,100,10
"18","cal_kluster_mean",7,0.00993139999999694,5,2,696,0.2,"Dmz4Jt0",100,100,10
"19","pam_kluster_mean",5,0.000233700000002864,5,0,696,0.2,"Dmz4Jt0",100,100,10
"20","ap_kluster_mean",5,0.000273400000001129,5,0,696,0.2,"Dmz4Jt0",100,100,10
"21","BIC_kluster_frq",5,0.00429680000000226,5,0,696,0.2,"Dmz4Jt0",100,100,10
"22","cal_kluster_frq",5,0.00993139999999694,5,0,696,0.2,"Dmz4Jt0",100,100,10
"23","pam_kluster_frq",5,0.000233700000002864,5,0,696,0.2,"Dmz4Jt0",100,100,10
"24","ap_kluster_frq",5,0.000273400000001129,5,0,696,0.2,"Dmz4Jt0",100,100,10
"25","BIC.best",5,4.03499999998894,5,0,534,0.3,"y8Tyl8D",100,100,10
"26","pamk.best",5,0.985000000000582,5,0,534,0.3,"y8Tyl8D",100,100,10
"27","calinski.best",3,1.68399999999383,5,-2,534,0.3,"y8Tyl8D",100,100,10
"28","apclus.best",10,1.76000000000931,5,5,534,0.3,"y8Tyl8D",100,100,10
"29","BIC_kluster_mean",5,0.00336110000000335,5,0,534,0.3,"y8Tyl8D",100,100,10
"30","cal_kluster_mean",8,0.00957960000000021,5,3,534,0.3,"y8Tyl8D",100,100,10
"31","pam_kluster_mean",5,0.000236000000001513,5,0,534,0.3,"y8Tyl8D",100,100,10
"32","ap_kluster_mean",5,0.0002637000000017,5,0,534,0.3,"y8Tyl8D",100,100,10
"33","BIC_kluster_frq",5,0.00336110000000335,5,0,534,0.3,"y8Tyl8D",100,100,10
"34","cal_kluster_frq",5,0.00957960000000021,5,0,534,0.3,"y8Tyl8D",100,100,10
"35","pam_kluster_frq",5,0.000236000000001513,5,0,534,0.3,"y8Tyl8D",100,100,10
"36","ap_kluster_frq",5,0.0002637000000017,5,0,534,0.3,"y8Tyl8D",100,100,10
"37","BIC.best",5,5.66099999999278,5,0,513,0.4,"LY1SRPv",100,100,10
"38","pamk.best",5,1.11200000000827,5,0,513,0.4,"LY1SRPv",100,100,10
"39","calinski.best",3,1.63300000000163,5,-2,513,0.4,"LY1SRPv",100,100,10
"40","apclus.best",6,1.25800000000163,5,1,513,0.4,"LY1SRPv",100,100,10
"41","BIC_kluster_mean",5,0.00327380000000121,5,0,513,0.4,"LY1SRPv",100,100,10
"42","cal_kluster_mean",8,0.00935880000000034,5,3,513,0.4,"LY1SRPv",100,100,10
"43","pam_kluster_mean",5,0.000234900000000198,5,0,513,0.4,"LY1SRPv",100,100,10
"44","ap_kluster_mean",5,0.000231599999999162,5,0,513,0.4,"LY1SRPv",100,100,10
"45","BIC_kluster_frq",5,0.00327380000000121,5,0,513,0.4,"LY1SRPv",100,100,10
"46","cal_kluster_frq",5,0.00935880000000034,5,0,513,0.4,"LY1SRPv",100,100,10
"47","pam_kluster_frq",5,0.000234900000000198,5,0,513,0.4,"LY1SRPv",100,100,10
"48","ap_kluster_frq",5,0.000231599999999162,5,0,513,0.4,"LY1SRPv",100,100,10
"49","BIC.best",5,4.49000000000524,5,0,514,0.5,"YuUXB6v",100,100,10
"50","pamk.best",5,0.887000000002445,5,0,514,0.5,"YuUXB6v",100,100,10
"51","calinski.best",3,1.58599999999569,5,-2,514,0.5,"YuUXB6v",100,100,10
"52","apclus.best",5,0.922000000005937,5,0,514,0.5,"YuUXB6v",100,100,10
"53","BIC_kluster_mean",5,0.0030398000000001,5,0,514,0.5,"YuUXB6v",100,100,10
"54","cal_kluster_mean",5,0.00909979999999632,5,0,514,0.5,"YuUXB6v",100,100,10
"55","pam_kluster_mean",5,0.000259400000002643,5,0,514,0.5,"YuUXB6v",100,100,10
"56","ap_kluster_mean",5,0.000242299999999523,5,0,514,0.5,"YuUXB6v",100,100,10
"57","BIC_kluster_frq",5,0.0030398000000001,5,0,514,0.5,"YuUXB6v",100,100,10
"58","cal_kluster_frq",5,0.00909979999999632,5,0,514,0.5,"YuUXB6v",100,100,10
"59","pam_kluster_frq",5,0.000259400000002643,5,0,514,0.5,"YuUXB6v",100,100,10
"60","ap_kluster_frq",5,0.000242299999999523,5,0,514,0.5,"YuUXB6v",100,100,10
"61","BIC.best",5,5.82300000000396,5,0,753,0.6,"a3HNlDi",100,100,10
"62","pamk.best",5,1.79899999999907,5,0,753,0.6,"a3HNlDi",100,100,10
"63","calinski.best",3,2.08699999999953,5,-2,753,0.6,"a3HNlDi",100,100,10
"64","apclus.best",5,3.36700000001292,5,0,753,0.6,"a3HNlDi",100,100,10
"65","BIC_kluster_mean",5,0.00265220000000118,5,0,753,0.6,"a3HNlDi",100,100,10
"66","cal_kluster_mean",7,0.00898870000000315,5,2,753,0.6,"a3HNlDi",100,100,10
"67","pam_kluster_mean",5,0.000255999999998312,5,0,753,0.6,"a3HNlDi",100,100,10
"68","ap_kluster_mean",5,0.000253799999997136,5,0,753,0.6,"a3HNlDi",100,100,10
"69","BIC_kluster_frq",5,0.00265220000000118,5,0,753,0.6,"a3HNlDi",100,100,10
"70","cal_kluster_frq",5,0.00898870000000315,5,0,753,0.6,"a3HNlDi",100,100,10
"71","pam_kluster_frq",5,0.000255999999998312,5,0,753,0.6,"a3HNlDi",100,100,10
"72","ap_kluster_frq",5,0.000253799999997136,5,0,753,0.6,"a3HNlDi",100,100,10
"73","BIC.best",5,1.48399999999674,5,0,433,0.7,"MEc1Eku",100,100,10
"74","pamk.best",5,0.506000000008498,5,0,433,0.7,"MEc1Eku",100,100,10
"75","calinski.best",3,1.30499999999302,5,-2,433,0.7,"MEc1Eku",100,100,10
"76","apclus.best",5,0.407999999995809,5,0,433,0.7,"MEc1Eku",100,100,10
"77","BIC_kluster_mean",5,0.00192759999999835,5,0,433,0.7,"MEc1Eku",100,100,10
"78","cal_kluster_mean",9,0.00928899999999849,5,4,433,0.7,"MEc1Eku",100,100,10
"79","pam_kluster_mean",5,0.000255300000001444,5,0,433,0.7,"MEc1Eku",100,100,10
"80","ap_kluster_mean",5,0.000261299999999756,5,0,433,0.7,"MEc1Eku",100,100,10
"81","BIC_kluster_frq",5,0.00192759999999835,5,0,433,0.7,"MEc1Eku",100,100,10
"82","cal_kluster_frq",5,0.00928899999999849,5,0,433,0.7,"MEc1Eku",100,100,10
"83","pam_kluster_frq",5,0.000255300000001444,5,0,433,0.7,"MEc1Eku",100,100,10
"84","ap_kluster_frq",5,0.000261299999999756,5,0,433,0.7,"MEc1Eku",100,100,10
