"","method","k_num","ptime","k_orig","e","n","sepVal","run","sample","sampling_iteration","simulation_iteration"
"1","BIC.best",7,7.71199999999953,7,0,965,0.1,"tJq64YO",100,100,10
"2","pamk.best",7,3.87099999999919,7,0,965,0.1,"tJq64YO",100,100,10
"3","calinski.best",5,3.84100000000035,7,-2,965,0.1,"tJq64YO",100,100,10
"4","apclus.best",19,8.48999999999069,7,12,965,0.1,"tJq64YO",100,100,10
"5","BIC_kluster_mean",7,0.00521659999999683,7,0,965,0.1,"tJq64YO",100,100,10
"6","cal_kluster_mean",10,0.0104337,7,3,965,0.1,"tJq64YO",100,100,10
"7","pam_kluster_mean",7,0.00027850000000326,7,0,965,0.1,"tJq64YO",100,100,10
"8","ap_kluster_mean",7,0.000237599999996019,7,0,965,0.1,"tJq64YO",100,100,10
"9","BIC_kluster_frq",7,0.00521659999999683,7,0,965,0.1,"tJq64YO",100,100,10
"10","cal_kluster_frq",7,0.0104337,7,0,965,0.1,"tJq64YO",100,100,10
"11","pam_kluster_frq",7,0.00027850000000326,7,0,965,0.1,"tJq64YO",100,100,10
"12","ap_kluster_frq",7,0.000237599999996019,7,0,965,0.1,"tJq64YO",100,100,10
"13","BIC.best",7,5.90200000000186,7,0,856,0.2,"cjB1kW0",100,100,10
"14","pamk.best",7,2.58599999999569,7,0,856,0.2,"cjB1kW0",100,100,10
"15","calinski.best",6,3.08599999999569,7,-1,856,0.2,"cjB1kW0",100,100,10
"16","apclus.best",16,6.64999999999418,7,9,856,0.2,"cjB1kW0",100,100,10
"17","BIC_kluster_mean",7,0.00448220000000292,7,0,856,0.2,"cjB1kW0",100,100,10
"18","cal_kluster_mean",11,0.010004899999997,7,4,856,0.2,"cjB1kW0",100,100,10
"19","pam_kluster_mean",7,0.000269700000001467,7,0,856,0.2,"cjB1kW0",100,100,10
"20","ap_kluster_mean",7,0.000261200000000827,7,0,856,0.2,"cjB1kW0",100,100,10
"21","BIC_kluster_frq",7,0.00448220000000292,7,0,856,0.2,"cjB1kW0",100,100,10
"22","cal_kluster_frq",15,0.010004899999997,7,8,856,0.2,"cjB1kW0",100,100,10
"23","pam_kluster_frq",7,0.000269700000001467,7,0,856,0.2,"cjB1kW0",100,100,10
"24","ap_kluster_frq",7,0.000261200000000827,7,0,856,0.2,"cjB1kW0",100,100,10
"25","BIC.best",7,4.93099999999686,7,0,972,0.3,"NlA5r2P",100,100,10
"26","pamk.best",7,3.82800000000861,7,0,972,0.3,"NlA5r2P",100,100,10
"27","calinski.best",5,2.96299999998882,7,-2,972,0.3,"NlA5r2P",100,100,10
"28","apclus.best",13,6.68000000000757,7,6,972,0.3,"NlA5r2P",100,100,10
"29","BIC_kluster_mean",7,0.00309910000000236,7,0,972,0.3,"NlA5r2P",100,100,10
"30","cal_kluster_mean",10,0.00975930000000226,7,3,972,0.3,"NlA5r2P",100,100,10
"31","pam_kluster_mean",7,0.000235300000000279,7,0,972,0.3,"NlA5r2P",100,100,10
"32","ap_kluster_mean",7,0.000265799999998126,7,0,972,0.3,"NlA5r2P",100,100,10
"33","BIC_kluster_frq",7,0.00309910000000236,7,0,972,0.3,"NlA5r2P",100,100,10
"34","cal_kluster_frq",7,0.00975930000000226,7,0,972,0.3,"NlA5r2P",100,100,10
"35","pam_kluster_frq",7,0.000235300000000279,7,0,972,0.3,"NlA5r2P",100,100,10
"36","ap_kluster_frq",7,0.000265799999998126,7,0,972,0.3,"NlA5r2P",100,100,10
"37","BIC.best",7,5.85899999999674,7,0,757,0.4,"ACBPPGr",100,100,10
"38","pamk.best",7,2.00400000000081,7,0,757,0.4,"ACBPPGr",100,100,10
"39","calinski.best",5,2.34999999999127,7,-2,757,0.4,"ACBPPGr",100,100,10
"40","apclus.best",9,3.61699999999837,7,2,757,0.4,"ACBPPGr",100,100,10
"41","BIC_kluster_mean",7,0.00300700000000361,7,0,757,0.4,"ACBPPGr",100,100,10
"42","cal_kluster_mean",10,0.00968310000000056,7,3,757,0.4,"ACBPPGr",100,100,10
"43","pam_kluster_mean",7,0.000257299999998941,7,0,757,0.4,"ACBPPGr",100,100,10
"44","ap_kluster_mean",7,0.000277599999995437,7,0,757,0.4,"ACBPPGr",100,100,10
"45","BIC_kluster_frq",7,0.00300700000000361,7,0,757,0.4,"ACBPPGr",100,100,10
"46","cal_kluster_frq",7,0.00968310000000056,7,0,757,0.4,"ACBPPGr",100,100,10
"47","pam_kluster_frq",7,0.000257299999998941,7,0,757,0.4,"ACBPPGr",100,100,10
"48","ap_kluster_frq",7,0.000277599999995437,7,0,757,0.4,"ACBPPGr",100,100,10
"49","BIC.best",7,7.60000000000582,7,0,1025,0.5,"8V56zTg",100,100,10
"50","pamk.best",7,5.24299999998766,7,0,1025,0.5,"8V56zTg",100,100,10
"51","calinski.best",5,2.66300000000047,7,-2,1025,0.5,"8V56zTg",100,100,10
"52","apclus.best",7,8.13500000000931,7,0,1025,0.5,"8V56zTg",100,100,10
"53","BIC_kluster_mean",7,0.00218789999999863,7,0,1025,0.5,"8V56zTg",100,100,10
"54","cal_kluster_mean",9,0.00922859999999928,7,2,1025,0.5,"8V56zTg",100,100,10
"55","pam_kluster_mean",7,0.000264200000007986,7,0,1025,0.5,"8V56zTg",100,100,10
"56","ap_kluster_mean",7,0.000279100000001199,7,0,1025,0.5,"8V56zTg",100,100,10
"57","BIC_kluster_frq",7,0.00218789999999863,7,0,1025,0.5,"8V56zTg",100,100,10
"58","cal_kluster_frq",7,0.00922859999999928,7,0,1025,0.5,"8V56zTg",100,100,10
"59","pam_kluster_frq",7,0.000264200000007986,7,0,1025,0.5,"8V56zTg",100,100,10
"60","ap_kluster_frq",7,0.000279100000001199,7,0,1025,0.5,"8V56zTg",100,100,10
