"","method","k_num","ptime","k_orig","e","n","sepVal","run","sample","sampling_iteration","simulation_iteration"
"1","BIC.best",15,25.6259999999893,19,-4,2167,0.1,"DhPmsTG",100,100,10
"2","pamk.best",2,33.2060000000056,19,-17,2167,0.1,"DhPmsTG",100,100,10
"3","calinski.best",13,8.5679999999993,19,-6,2167,0.1,"DhPmsTG",100,100,10
"4","apclus.best",20,45.3459999999905,19,1,2167,0.1,"DhPmsTG",100,100,10
"5","BIC_kluster_mean",4,0.00677530000000552,19,-15,2167,0.1,"DhPmsTG",100,100,10
"6","cal_kluster_mean",15,0.00961530000000203,19,-4,2167,0.1,"DhPmsTG",100,100,10
"7","pam_kluster_mean",2,0.000274099999995087,19,-17,2167,0.1,"DhPmsTG",100,100,10
"8","ap_kluster_mean",6,0.000250700000001234,19,-13,2167,0.1,"DhPmsTG",100,100,10
"9","BIC_kluster_frq",3,0.00677530000000552,19,-16,2167,0.1,"DhPmsTG",100,100,10
"10","cal_kluster_frq",15,0.00961530000000203,19,-4,2167,0.1,"DhPmsTG",100,100,10
"11","pam_kluster_frq",2,0.000274099999995087,19,-17,2167,0.1,"DhPmsTG",100,100,10
"12","ap_kluster_frq",6,0.000250700000001234,19,-13,2167,0.1,"DhPmsTG",100,100,10
"13","BIC.best",14,16.137000000017,19,-5,1912,0.2,"SxyBSk8",100,100,10
"14","pamk.best",2,24.0899999999965,19,-17,1912,0.2,"SxyBSk8",100,100,10
"15","calinski.best",13,6.86600000000908,19,-6,1912,0.2,"SxyBSk8",100,100,10
"16","apclus.best",19,32.7900000000081,19,0,1912,0.2,"SxyBSk8",100,100,10
"17","BIC_kluster_mean",5,0.0054823000000004,19,-14,1912,0.2,"SxyBSk8",100,100,10
"18","cal_kluster_mean",15,0.0103580999999918,19,-4,1912,0.2,"SxyBSk8",100,100,10
"19","pam_kluster_mean",2,0.000276500000001397,19,-17,1912,0.2,"SxyBSk8",100,100,10
"20","ap_kluster_mean",6,0.000237300000005052,19,-13,1912,0.2,"SxyBSk8",100,100,10
"21","BIC_kluster_frq",4,0.0054823000000004,19,-15,1912,0.2,"SxyBSk8",100,100,10
"22","cal_kluster_frq",15,0.0103580999999918,19,-4,1912,0.2,"SxyBSk8",100,100,10
"23","pam_kluster_frq",2,0.000276500000001397,19,-17,1912,0.2,"SxyBSk8",100,100,10
"24","ap_kluster_frq",6,0.000237300000005052,19,-13,1912,0.2,"SxyBSk8",100,100,10
"25","BIC.best",15,18.18299999999,19,-4,2258,0.3,"2m1yq0q",100,100,10
"26","pamk.best",2,27.3999999999942,19,-17,2258,0.3,"2m1yq0q",100,100,10
"27","calinski.best",13,6.56400000001304,19,-6,2258,0.3,"2m1yq0q",100,100,10
"28","apclus.best",19,46.2200000000012,19,0,2258,0.3,"2m1yq0q",100,100,10
"29","BIC_kluster_mean",5,0.00524379999999655,19,-14,2258,0.3,"2m1yq0q",100,100,10
"30","cal_kluster_mean",15,0.00908110000001325,19,-4,2258,0.3,"2m1yq0q",100,100,10
"31","pam_kluster_mean",2,0.000282000000006519,19,-17,2258,0.3,"2m1yq0q",100,100,10
"32","ap_kluster_mean",6,0.000240900000007241,19,-13,2258,0.3,"2m1yq0q",100,100,10
"33","BIC_kluster_frq",4,0.00524379999999655,19,-15,2258,0.3,"2m1yq0q",100,100,10
"34","cal_kluster_frq",15,0.00908110000001325,19,-4,2258,0.3,"2m1yq0q",100,100,10
"35","pam_kluster_frq",2,0.000282000000006519,19,-17,2258,0.3,"2m1yq0q",100,100,10
"36","ap_kluster_frq",6,0.000240900000007241,19,-13,2258,0.3,"2m1yq0q",100,100,10
"37","BIC.best",15,13.3519999999844,19,-4,2317,0.4,"orln9Dm",100,100,10
"38","pamk.best",2,39.5310000000172,19,-17,2317,0.4,"orln9Dm",100,100,10
"39","calinski.best",13,5.78699999998207,19,-6,2317,0.4,"orln9Dm",100,100,10
"40","apclus.best",19,51.4919999999984,19,0,2317,0.4,"orln9Dm",100,100,10
"41","BIC_kluster_mean",9,0.00428880000000063,19,-10,2317,0.4,"orln9Dm",100,100,10
"42","cal_kluster_mean",15,0.0088975999999966,19,-4,2317,0.4,"orln9Dm",100,100,10
"43","pam_kluster_mean",3,0.000274199999996927,19,-16,2317,0.4,"orln9Dm",100,100,10
"44","ap_kluster_mean",6,0.000276399999996647,19,-13,2317,0.4,"orln9Dm",100,100,10
"45","BIC_kluster_frq",15,0.00428880000000063,19,-4,2317,0.4,"orln9Dm",100,100,10
"46","cal_kluster_frq",15,0.0088975999999966,19,-4,2317,0.4,"orln9Dm",100,100,10
"47","pam_kluster_frq",2,0.000274199999996927,19,-17,2317,0.4,"orln9Dm",100,100,10
"48","ap_kluster_frq",6,0.000276399999996647,19,-13,2317,0.4,"orln9Dm",100,100,10
"49","BIC.best",15,16.984999999986,19,-4,2443,0.5,"0pJZGao",100,100,10
"50","pamk.best",2,39.1849999999977,19,-17,2443,0.5,"0pJZGao",100,100,10
"51","calinski.best",13,5.08200000002398,19,-6,2443,0.5,"0pJZGao",100,100,10
"52","apclus.best",19,57.1459999999788,19,0,2443,0.5,"0pJZGao",100,100,10
"53","BIC_kluster_mean",8,0.00461780000000726,19,-11,2443,0.5,"0pJZGao",100,100,10
