"","method","k_num","ptime","k_orig","e","n","sepVal","run","sample","sampling_iteration","simulation_iteration"
"1","BIC.best",15,20.6919999999809,18,-3,2000,0.1,"jGTEWCK",100,100,10
"2","pamk.best",2,29.5970000000088,18,-16,2000,0.1,"jGTEWCK",100,100,10
"3","calinski.best",13,9.23600000000442,18,-5,2000,0.1,"jGTEWCK",100,100,10
"4","apclus.best",19,46.8250000000116,18,1,2000,0.1,"jGTEWCK",100,100,10
"5","BIC_kluster_mean",5,0.00618220000000147,18,-13,2000,0.1,"jGTEWCK",100,100,10
"6","cal_kluster_mean",15,0.0104917000000045,18,-3,2000,0.1,"jGTEWCK",100,100,10
"7","pam_kluster_mean",2,0.000273699999999371,18,-16,2000,0.1,"jGTEWCK",100,100,10
"8","ap_kluster_mean",6,0.000250800000008894,18,-12,2000,0.1,"jGTEWCK",100,100,10
"9","BIC_kluster_frq",3,0.00618220000000147,18,-15,2000,0.1,"jGTEWCK",100,100,10
"10","cal_kluster_frq",15,0.0104917000000045,18,-3,2000,0.1,"jGTEWCK",100,100,10
"11","pam_kluster_frq",2,0.000273699999999371,18,-16,2000,0.1,"jGTEWCK",100,100,10
"12","ap_kluster_frq",6,0.000250800000008894,18,-12,2000,0.1,"jGTEWCK",100,100,10
"13","BIC.best",13,17.4910000000091,18,-5,2014,0.2,"QetFNdD",100,100,10
"14","pamk.best",2,34.2239999999874,18,-16,2014,0.2,"QetFNdD",100,100,10
"15","calinski.best",13,6.77199999999721,18,-5,2014,0.2,"QetFNdD",100,100,10
"16","apclus.best",19,36.2690000000002,18,1,2014,0.2,"QetFNdD",100,100,10
"17","BIC_kluster_mean",5,0.00493910000000033,18,-13,2014,0.2,"QetFNdD",100,100,10
"18","cal_kluster_mean",15,0.00950760000000009,18,-3,2014,0.2,"QetFNdD",100,100,10
"19","pam_kluster_mean",3,0.000270499999995809,18,-15,2014,0.2,"QetFNdD",100,100,10
"20","ap_kluster_mean",6,0.000259500000000116,18,-12,2014,0.2,"QetFNdD",100,100,10
"21","BIC_kluster_frq",4,0.00493910000000033,18,-14,2014,0.2,"QetFNdD",100,100,10
