"","method","k_num","ptime","k_orig","e","n","sepVal","run","sample","sampling_iteration","simulation_iteration"
"1","BIC.best",15,57.905,29,-14,3573,0.1,"1pkPyG5",100,100,10
"2","pamk.best",2,65.882,29,-27,3573,0.1,"1pkPyG5",100,100,10
"3","calinski.best",6,19.064,29,-23,3573,0.1,"1pkPyG5",100,100,10
"4","apclus.best",29,53.304,29,0,3573,0.1,"1pkPyG5",100,100,10
"5","BIC_kluster_mean",4,0.00735360000000001,29,-25,3573,0.1,"1pkPyG5",100,100,10
"6","cal_kluster_mean",14,0.0104465000000002,29,-15,3573,0.1,"1pkPyG5",100,100,10
"7","pam_kluster_mean",2,0.000244499999999971,29,-27,3573,0.1,"1pkPyG5",100,100,10
"8","ap_kluster_mean",6,0.000236300000000028,29,-23,3573,0.1,"1pkPyG5",100,100,10
"9","BIC_kluster_frq",4,0.00735360000000001,29,-25,3573,0.1,"1pkPyG5",100,100,10
"10","cal_kluster_frq",15,0.0104465000000002,29,-14,3573,0.1,"1pkPyG5",100,100,10
"11","pam_kluster_frq",2,0.000244499999999971,29,-27,3573,0.1,"1pkPyG5",100,100,10
"12","ap_kluster_frq",6,0.000236300000000028,29,-23,3573,0.1,"1pkPyG5",100,100,10
"13","BIC.best",15,52.3450000000003,29,-14,3462,0.2,"hTVnWiU",100,100,10
"14","pamk.best",2,76.4349999999999,29,-27,3462,0.2,"hTVnWiU",100,100,10
"15","calinski.best",5,11.3440000000001,29,-24,3462,0.2,"hTVnWiU",100,100,10
"16","apclus.best",29,44.1259999999997,29,0,3462,0.2,"hTVnWiU",100,100,10
"17","BIC_kluster_mean",4,0.00710919999999992,29,-25,3462,0.2,"hTVnWiU",100,100,10
"18","cal_kluster_mean",14,0.00896750000000002,29,-15,3462,0.2,"hTVnWiU",100,100,10
"19","pam_kluster_mean",2,0.000262599999999975,29,-27,3462,0.2,"hTVnWiU",100,100,10
"20","ap_kluster_mean",6,0.000231200000000172,29,-23,3462,0.2,"hTVnWiU",100,100,10
"21","BIC_kluster_frq",4,0.00710919999999992,29,-25,3462,0.2,"hTVnWiU",100,100,10
"22","cal_kluster_frq",15,0.00896750000000002,29,-14,3462,0.2,"hTVnWiU",100,100,10
"23","pam_kluster_frq",2,0.000262599999999975,29,-27,3462,0.2,"hTVnWiU",100,100,10
"24","ap_kluster_frq",6,0.000231200000000172,29,-23,3462,0.2,"hTVnWiU",100,100,10
"25","BIC.best",15,57.5810000000001,29,-14,3735,0.3,"ErjiY1e",100,100,10
"26","pamk.best",3,123.831,29,-26,3735,0.3,"ErjiY1e",100,100,10
"27","calinski.best",7,11.9659999999994,29,-22,3735,0.3,"ErjiY1e",100,100,10
"28","apclus.best",29,53.7280000000001,29,0,3735,0.3,"ErjiY1e",100,100,10
"29","BIC_kluster_mean",5,0.0071291000000002,29,-24,3735,0.3,"ErjiY1e",100,100,10
"30","cal_kluster_mean",14,0.00914250000000047,29,-15,3735,0.3,"ErjiY1e",100,100,10
