"","method","k_num","ptime","k_orig","e","n","sepVal","run","sample","sampling_iteration","simulation_iteration"
"1","BIC.best",14,39.5720000000001,27,-13,3272,0.1,"CQZ3Zd8",100,100,10
"2","pamk.best",2,88.8119999999981,27,-25,3272,0.1,"CQZ3Zd8",100,100,10
"3","calinski.best",5,13.737000000001,27,-22,3272,0.1,"CQZ3Zd8",100,100,10
"4","apclus.best",27,29.5970000000016,27,0,3272,0.1,"CQZ3Zd8",100,100,10
"5","BIC_kluster_mean",4,0.00691439999999784,27,-23,3272,0.1,"CQZ3Zd8",100,100,10
"6","cal_kluster_mean",14,0.00979699999999721,27,-13,3272,0.1,"CQZ3Zd8",100,100,10
"7","pam_kluster_mean",2,0.000261499999996886,27,-25,3272,0.1,"CQZ3Zd8",100,100,10
"8","ap_kluster_mean",6,0.000247999999999593,27,-21,3272,0.1,"CQZ3Zd8",100,100,10
"9","BIC_kluster_frq",3,0.00691439999999784,27,-24,3272,0.1,"CQZ3Zd8",100,100,10
"10","cal_kluster_frq",15,0.00979699999999721,27,-12,3272,0.1,"CQZ3Zd8",100,100,10
"11","pam_kluster_frq",2,0.000261499999996886,27,-25,3272,0.1,"CQZ3Zd8",100,100,10
"12","ap_kluster_frq",6,0.000247999999999593,27,-21,3272,0.1,"CQZ3Zd8",100,100,10
"13","BIC.best",15,44.7389999999941,27,-12,3554,0.2,"bik5ogU",100,100,10
"14","pamk.best",2,118.600000000006,27,-25,3554,0.2,"bik5ogU",100,100,10
"15","calinski.best",6,14.0809999999983,27,-21,3554,0.2,"bik5ogU",100,100,10
"16","apclus.best",27,41.3309999999983,27,0,3554,0.2,"bik5ogU",100,100,10
"17","BIC_kluster_mean",5,0.00698979999999938,27,-22,3554,0.2,"bik5ogU",100,100,10
"18","cal_kluster_mean",15,0.0093789999999979,27,-12,3554,0.2,"bik5ogU",100,100,10
"19","pam_kluster_mean",2,0.000266499999998632,27,-25,3554,0.2,"bik5ogU",100,100,10
"20","ap_kluster_mean",6,0.000265499999995518,27,-21,3554,0.2,"bik5ogU",100,100,10
"21","BIC_kluster_frq",4,0.00698979999999938,27,-23,3554,0.2,"bik5ogU",100,100,10
"22","cal_kluster_frq",15,0.0093789999999979,27,-12,3554,0.2,"bik5ogU",100,100,10
"23","pam_kluster_frq",2,0.000266499999998632,27,-25,3554,0.2,"bik5ogU",100,100,10
"24","ap_kluster_frq",6,0.000265499999995518,27,-21,3554,0.2,"bik5ogU",100,100,10
"25","BIC.best",10,35.0310000000027,27,-17,3330,0.3,"GrrnNgX",100,100,10
"26","pamk.best",2,100.161,27,-25,3330,0.3,"GrrnNgX",100,100,10
"27","calinski.best",6,11.3410000000003,27,-21,3330,0.3,"GrrnNgX",100,100,10
"28","apclus.best",27,38.387999999999,27,0,3330,0.3,"GrrnNgX",100,100,10
"29","BIC_kluster_mean",5,0.00655489999999918,27,-22,3330,0.3,"GrrnNgX",100,100,10
"30","cal_kluster_mean",15,0.00985480000000025,27,-12,3330,0.3,"GrrnNgX",100,100,10
"31","pam_kluster_mean",2,0.000251300000002811,27,-25,3330,0.3,"GrrnNgX",100,100,10
"32","ap_kluster_mean",5,0.000234400000001187,27,-22,3330,0.3,"GrrnNgX",100,100,10
"33","BIC_kluster_frq",4,0.00655489999999918,27,-23,3330,0.3,"GrrnNgX",100,100,10
"34","cal_kluster_frq",15,0.00985480000000025,27,-12,3330,0.3,"GrrnNgX",100,100,10
"35","pam_kluster_frq",2,0.000251300000002811,27,-25,3330,0.3,"GrrnNgX",100,100,10
"36","ap_kluster_frq",5,0.000234400000001187,27,-22,3330,0.3,"GrrnNgX",100,100,10
"37","BIC.best",13,32.7679999999964,27,-14,3344,0.4,"U8zfB6e",100,100,10
"38","pamk.best",2,81.7900000000009,27,-25,3344,0.4,"U8zfB6e",100,100,10
"39","calinski.best",6,8.91900000000169,27,-21,3344,0.4,"U8zfB6e",100,100,10
"40","apclus.best",27,31.6270000000004,27,0,3344,0.4,"U8zfB6e",100,100,10
"41","BIC_kluster_mean",5,0.00685610000000015,27,-22,3344,0.4,"U8zfB6e",100,100,10
"42","cal_kluster_mean",15,0.00924709999999905,27,-12,3344,0.4,"U8zfB6e",100,100,10
"43","pam_kluster_mean",2,0.000242199999999866,27,-25,3344,0.4,"U8zfB6e",100,100,10
"44","ap_kluster_mean",6,0.000238699999998789,27,-21,3344,0.4,"U8zfB6e",100,100,10
"45","BIC_kluster_frq",4,0.00685610000000015,27,-23,3344,0.4,"U8zfB6e",100,100,10
"46","cal_kluster_frq",15,0.00924709999999905,27,-12,3344,0.4,"U8zfB6e",100,100,10
"47","pam_kluster_frq",2,0.000242199999999866,27,-25,3344,0.4,"U8zfB6e",100,100,10
