"","method","k_mean","k_freq","ptime","k_orig","e_mean","e_freq","n"
"1","BIC_kluster",6,6,0.00043499200000026,5,1,1,36500
"2","pam_kluster",3,4,3.6313000000082e-05,5,-2,-1,36500
"3","ap_kluster",5,5,3.02040000001434e-05,5,0,0,36500
