"","method","k_num","ptime","k_orig","e","n","error"
"1","BIC.best",0,1554.628,7,-7,575100,"cannot allocate vector of size 1232.1 Gb"
"2","BIC_kluster",6,0.0579999999999927,7,-1,575100,"cannot allocate vector of size 1232.1 Gb"
