"","method","k_num","ptime","k_orig","e","n"
"1","BIC_kluster",6,0.31929999999993,7,-1,60210
"2","pam_kluster",5,0.0418000000005122,7,-2,60210
"3","cal_kluster",15,1.21219999999739,7,8,60210
"4","ap_kluster",5,0.0299000000013621,7,-2,60210
