"","method","k_num","ptime","k_orig","e","n"
"1","BIC.best",4,22.3069999999998,4,0,2900
"2","pamk.best",2,55.0820000000001,4,-2,2900
"3","calinski.best",13,6.12599999999998,4,9,2900
"4","apclus.best",17,47.7629999999999,4,13,2900
"5","BIC_kluster_mean",4,0.0730400000000009,4,0,2900
"6","cal_kluster_mean",14,0.172199999999993,4,10,2900
"7","pam_kluster_mean",2,0.00463999999999942,4,-2,2900
"8","ap_kluster_mean",5,0.00372000000001208,4,1,2900
"9","BIC_kluster_frq",4,0.0730400000000009,4,0,2900
"10","cal_kluster_frq",13,0.172199999999993,4,9,2900
"11","pam_kluster_frq",2,0.00463999999999942,4,-2,2900
"12","ap_kluster_frq",4,0.00372000000001208,4,0,2900
