"","method","k_mean","k_freq","ptime","k_orig","e_mean","e_freq","n"
"1","BIC_kluster",7,6,0.0243170999999973,5,2,1,36500
"2","pam_kluster",3,4,0.00365460000001476,5,-2,-1,36500
"3","ap_kluster",7,7,0.00329290000000037,5,2,2,36500
