"","method","k_num","ptime","k_orig","e","n","error"
"1","apclus.best",0,1e+07,7,-7,575100,"Error in as.matrix()"
"2","ap_kluster",6,0.0231999999999857,7,-1,575100,"Error in as.matrix()"
