"","algorithm","k_num","ptime","k_orig","e","n"
"1","BIC.best",4,0.728000000000065,4,0,810
"2","pamk.best",4,2.40200000000004,4,0,810
"3","calinski.best",6,4.58500000000004,4,2,810
"4","apclus.best",4,1.73799999999983,4,0,810
"5","BIC_kluster",15,22.1696,4,11,810
"6","cal_kluster",6,44.2727999999988,4,2,810
"7","pam_kluster",4,2.57569999999978,4,0,810
"8","ap_kluster",4,2.24279999999999,4,0,810
