"","method","k_mean","k_freq","ptime","k_orig","e_mean","e_freq","n"
"1","BIC_kluster",9,8,0.00443760000000475,8,1,0,4600
"2","pam_kluster",3,2,0.000334599999996135,8,-5,-6,4600
"3","ap_kluster",5,5,0.000289299999977811,8,-3,-3,4600
