"","method","k_num","ptime","k_orig","e","n"
"1","BIC.best",3,2.76300000000001,3,0,689
"2","pamk.best",3,1.22399999999999,3,0,689
"3","calinski.best",13,1.86200000000002,3,10,689
"4","apclus.best",5,2.10899999999998,3,2,689
"5","BIC_kluster_mean",3,0.079200000000003,3,0,689
"6","cal_kluster_mean",14,0.168080000000002,3,11,689
"7","pam_kluster_mean",3,0.00420000000000073,3,0,689
"8","ap_kluster_mean",3,0.00408000000000129,3,0,689
"9","BIC_kluster_frq",3,0.079200000000003,3,0,689
"10","cal_kluster_frq",15,0.168080000000002,3,12,689
"11","pam_kluster_frq",3,0.00420000000000073,3,0,689
"12","ap_kluster_frq",3,0.00408000000000129,3,0,689
