"","method","k_mean","k_freq","ptime","k_orig","e_mean","e_freq","n"
"1","BIC_kluster",4,4,0.0318165000000154,4,0,0,290000
"2","pam_kluster",2,2,0.00356989999999059,4,-2,-2,290000
"3","ap_kluster",6,6,0.00307239999999874,4,2,2,290000
