"","method","k_num","ptime","k_orig","e","n"
"1","BIC.best",7,30.2759999999998,6,1,3900
"2","pamk.best",3,100.603,6,-3,3900
"3","calinski.best",13,7.71900000000005,6,7,3900
"4","apclus.best",18,121.963,6,12,3900
"5","BIC_kluster_mean",6,0.0703199999999924,6,0,3900
"6","cal_kluster_mean",15,0.169159999999993,6,9,3900
"7","pam_kluster_mean",3,0.00484000000000378,6,-3,3900
"8","ap_kluster_mean",5,0.00588000000001557,6,-1,3900
"9","BIC_kluster_frq",6,0.0703199999999924,6,0,3900
"10","cal_kluster_frq",15,0.169159999999993,6,9,3900
"11","pam_kluster_frq",3,0.00484000000000378,6,-3,3900
"12","ap_kluster_frq",5,0.00588000000001557,6,-1,3900
