"","method","k_mean","k_freq","ptime","k_orig","e_mean","e_freq","n"
"1","BIC_kluster",9,8,0.004536599999998,8,1,0,4600
"2","pam_kluster",3,2,0.000350800000011805,8,-5,-6,4600
"3","ap_kluster",5,5,0.000306599999990431,8,-3,-3,4600
