"","method","k_mean","k_freq","ptime","k_orig","e_mean","e_freq","n"
"1","BIC_kluster",4,4,0.00064197100000002,4,0,0,290000
"2","pam_kluster",2,2,3.79549999997835e-05,4,-2,-2,290000
"3","ap_kluster",4,4,2.72720000006375e-05,4,0,0,290000
