"","method","k_num","ptime","k_orig","e","n"
"1","BIC.best",7,2.25399999999991,7,0,440
"2","pamk.best",3,0.400000000000091,7,-4,440
"3","calinski.best",13,1.06899999999996,7,6,440
"4","apclus.best",7,0.399000000000342,7,0,440
"5","BIC_kluster_mean",9,0.0502399999999943,7,2,440
"6","cal_kluster_mean",15,0.168919999999998,7,8,440
"7","pam_kluster_mean",3,0.00356000000001586,7,-4,440
"8","ap_kluster_mean",5,0.00467999999998938,7,-2,440
"9","BIC_kluster_frq",8,0.0502399999999943,7,1,440
"10","cal_kluster_frq",15,0.168919999999998,7,8,440
"11","pam_kluster_frq",3,0.00356000000001586,7,-4,440
"12","ap_kluster_frq",5,0.00467999999998938,7,-2,440
