"","method","k_num","ptime","k_orig","e","n"
"1","BIC.best",6,1.88900000000001,6,0,390
"2","pamk.best",3,0.283999999999992,6,-3,390
"3","calinski.best",12,0.90300000000002,6,6,390
"4","apclus.best",7,0.391999999999939,6,1,390
"5","BIC_kluster_mean",6,0.0681599999999935,6,0,390
"6","cal_kluster_mean",15,0.160720000000001,6,9,390
"7","pam_kluster_mean",3,0.00440000000000055,6,-3,390
"8","ap_kluster_mean",4,0.00480000000000018,6,-2,390
"9","BIC_kluster_frq",6,0.0681599999999935,6,0,390
"10","cal_kluster_frq",15,0.160720000000001,6,9,390
"11","pam_kluster_frq",3,0.00440000000000055,6,-3,390
"12","ap_kluster_frq",4,0.00480000000000018,6,-2,390
