"","method","k_mean","k_freq","ptime","k_orig","e_mean","e_freq","n"
"1","BIC_kluster",5,5,0.00123639999999978,7,-2,-2,575100
"2","pam_kluster",5,5,0.000243900000000031,7,-2,-2,575100
"3","ap_kluster",5,5,0.000239200000000073,7,-2,-2,575100
