"","method","k_num","ptime","k_orig","e","n"
"1","BIC.best",4,1.90899999999999,4,0,290
"2","pamk.best",2,0.194999999999993,4,-2,290
"3","calinski.best",13,0.701000000000022,4,9,290
"4","apclus.best",6,0.16900000000004,4,2,290
"5","BIC_kluster_mean",4,0.061880000000001,4,0,290
"6","cal_kluster_mean",15,0.17732,4,11,290
"7","pam_kluster_mean",2,0.00463999999999942,4,-2,290
"8","ap_kluster_mean",4,0.00447999999999865,4,0,290
"9","BIC_kluster_frq",4,0.061880000000001,4,0,290
"10","cal_kluster_frq",15,0.17732,4,11,290
"11","pam_kluster_frq",2,0.00463999999999942,4,-2,290
"12","ap_kluster_frq",4,0.00447999999999865,4,0,290
