"","method","k_num","ptime","k_orig","e","n"
"1","BIC.best",7,26.0540000000001,5,2,3650
"2","pamk.best",4,111.878,5,-1,3650
"3","calinski.best",13,9.51700000000028,5,8,3650
"4","apclus.best",15,69.3099999999999,5,10,3650
"5","BIC_kluster_mean",6,0.0552000000000226,5,1,3650
"6","cal_kluster_mean",15,0.162119999999995,5,10,3650
"7","pam_kluster_mean",4,0.00480000000001382,5,-1,3650
"8","ap_kluster_mean",5,0.00524000000001251,5,0,3650
"9","BIC_kluster_frq",6,0.0552000000000226,5,1,3650
"10","cal_kluster_frq",15,0.162119999999995,5,10,3650
"11","pam_kluster_frq",4,0.00480000000001382,5,-1,3650
"12","ap_kluster_frq",5,0.00524000000001251,5,0,3650
