"","method","k_num","ptime","k_orig","e","n"
"1","BIC_kluster",5,0.123620000000119,7,-2,575100
"2","pam_kluster",5,0.0241499999999178,7,-2,575100
"3","cal_kluster",15,0.784919999999966,7,8,575100
"4","ap_kluster",5,0.0253600000000006,7,-2,575100
