"","method","k_mean","k_freq","ptime","k_orig","e_mean","e_freq","n"
"1","BIC_kluster",9,9,0.0210910000000091,8,1,1,4600
"2","pam_kluster",2,2,0.00330910000002477,8,-6,-6,4600
"3","ap_kluster",7,7,0.00337629999998026,8,-1,-1,4600
