"","method","k_mean","k_freq","ptime","k_orig","e_mean","e_freq","n"
"1","BIC_kluster",7,6,0.00427110000000394,5,2,1,36500
"2","pam_kluster",3,4,0.000359400000004098,5,-2,-1,36500
"3","ap_kluster",5,5,0.000314399999991292,5,0,0,36500
