"","method","k_mean","k_freq","ptime","k_orig","e_mean","e_freq","n"
"1","BIC_kluster",9,8,0.000439691999999923,8,1,0,4600
"2","pam_kluster",3,2,3.41969999993162e-05,8,-5,-6,4600
"3","ap_kluster",5,5,3.11780000004801e-05,8,-3,-3,4600
