"","method","k_mean","k_freq","ptime","k_orig","e_mean","e_freq","n"
"1","BIC_kluster",6,6,0.0893999999994412,5,1,1,36500
"2","pam_kluster",4,4,0.00747999999905005,5,-1,-1,36500
"3","ap_kluster",5,5,0.00479999999981374,5,0,0,36500
