"","method","k_mean","k_freq","ptime","k_orig","e_mean","e_freq","n"
"1","BIC_kluster",4,4,0.121840000000084,4,0,0,290000
"2","pam_kluster",2,2,0.00760000000009313,4,-2,-2,290000
"3","ap_kluster",5,5,0.00531999999890104,4,1,1,290000
