"","method","k_num","ptime","k_orig","e","n"
"1","BIC.best",11,102.363,9,2,7180
"2","pamk.best",7,293.181,9,-2,7180
"3","calinski.best",13,20.7709999999997,9,4,7180
"4","apclus.best",26,247.406,9,17,7180
"5","BIC_kluster_mean",9,0.0454399999999805,9,0,7180
"6","cal_kluster_mean",15,0.165399999999972,9,6,7180
"7","pam_kluster_mean",8,0.005,9,-1,7180
"8","ap_kluster_mean",7,0.00363999999997759,9,-2,7180
"9","BIC_kluster_frq",9,0.0454399999999805,9,0,7180
"10","cal_kluster_frq",15,0.165399999999972,9,6,7180
"11","pam_kluster_frq",8,0.005,9,-1,7180
"12","ap_kluster_frq",7,0.00363999999997759,9,-2,7180
