"","method","k_num","ptime","k_orig","e","n"
"1","BIC.best",10,2.85300000000007,9,1,718
"2","pamk.best",7,1.69600000000003,9,-2,718
"3","calinski.best",13,1.65899999999999,9,4,718
"4","apclus.best",10,1.06299999999999,9,1,718
"5","BIC_kluster_mean",9,0.0364400000000023,9,0,718
"6","cal_kluster_mean",15,0.170680000000002,9,6,718
"7","pam_kluster_mean",8,0.00471999999999753,9,-1,718
"8","ap_kluster_mean",7,0.00604000000000269,9,-2,718
"9","BIC_kluster_frq",10,0.0364400000000023,9,1,718
"10","cal_kluster_frq",15,0.170680000000002,9,6,718
"11","pam_kluster_frq",8,0.00471999999999753,9,-1,718
"12","ap_kluster_frq",7,0.00604000000000269,9,-2,718
