"","method","k_mean","k_freq","ptime","k_orig","e_mean","e_freq","n"
"1","BIC_kluster",6,6,0.00417410000001837,5,1,1,36500
"2","pam_kluster",3,4,0.000359499999982654,5,-2,-1,36500
"3","ap_kluster",5,5,0.000267000000007101,5,0,0,36500
