"","method","k_mean","k_freq","ptime","k_orig","e_mean","e_freq","n"
"1","BIC_kluster",4,4,0.00619059999999881,4,0,0,290000
"2","pam_kluster",2,2,0.000372699999983888,4,-2,-2,290000
"3","ap_kluster",4,4,0.000259499999994296,4,0,0,290000
