"","method","k_num","ptime","k_orig","e","n"
"1","BIC.best",9,42.096,8,1,4600
"2","pamk.best",2,150.393,8,-6,4600
"3","calinski.best",13,11.8029999999999,8,5,4600
"4","apclus.best",20,168.525,8,12,4600
"5","BIC_kluster_mean",9,0.0581600000000071,8,1,4600
"6","cal_kluster_mean",15,0.168680000000004,8,7,4600
"7","pam_kluster_mean",2,0.00456000000000131,8,-6,4600
"8","ap_kluster_mean",5,0.00376000000000204,8,-3,4600
"9","BIC_kluster_frq",10,0.0581600000000071,8,2,4600
"10","cal_kluster_frq",15,0.168680000000004,8,7,4600
"11","pam_kluster_frq",2,0.00456000000000131,8,-6,4600
"12","ap_kluster_frq",5,0.00376000000000204,8,-3,4600
