"","method","k_num","ptime","k_orig","e","n"
"1","BIC.best",7,2.49700000000001,5,2,365
"2","pamk.best",4,0.289999999999964,5,-1,365
"3","calinski.best",13,0.944000000000017,5,8,365
"4","apclus.best",7,0.242000000000019,5,2,365
"5","BIC_kluster_mean",6,0.0547600000000011,5,1,365
"6","cal_kluster_mean",15,0.168879999999999,5,10,365
"7","pam_kluster_mean",3,0.00451999999999771,5,-2,365
"8","ap_kluster_mean",5,0.00483999999999924,5,0,365
"9","BIC_kluster_frq",6,0.0547600000000011,5,1,365
"10","cal_kluster_frq",15,0.168879999999999,5,10,365
"11","pam_kluster_frq",4,0.00451999999999771,5,-1,365
"12","ap_kluster_frq",5,0.00483999999999924,5,0,365
